,Subject,Valence,Arousal,Confidence,RT,dPrime,Accuracy,MetadPrime,Mratio
0,11113,High,High,3.962121212121212,1.802298417664133,1.1109365818344878,0.7089552238805971,1.8428629675192698,1.6588372348637157
1,11113,High,Low,3.7803030303030303,1.6592201048042623,1.3586178242911728,0.7407407407407407,1.43184814339235,1.0539006023562096
2,11113,Low,High,3.2977099236641223,1.9268664578557944,1.064034994752726,0.6992481203007519,1.3045505378978601,1.2260410083608466
3,11113,Low,Low,3.3851851851851853,1.8449612278782297,1.0946468787865897,0.708029197080292,0.9125200832911949,0.8336205044522839
4,11114,High,High,3.6382978723404253,1.5847751786350273,1.2663120247042199,0.7323943661971831,1.17904162656074,0.9310830218453748
5,11114,High,Low,4.069444444444445,1.4892098193522543,1.6308144070856545,0.7916666666666666,1.70463138018753,1.0452638710948048
6,11114,Low,High,3.3472222222222223,1.5367326492414577,1.945685796293154,0.8333333333333334,1.20982696005168,0.621799759424978
7,11114,Low,Low,3.360544217687075,1.575480256869923,1.1319498678446878,0.7074829931972789,1.57770344005597,1.3937926801122635
8,11115,High,High,3.554054054054054,1.7218983724305872,1.2299472966194114,0.7162162162162162,1.5379806934803701,1.250444387094966
9,11115,High,Low,3.4689655172413794,1.6301513608777896,1.2056993681027182,0.7241379310344828,1.4916989401073102,1.237206371315131
10,11115,Low,High,3.1156462585034013,1.7650595761660952,1.064638229474058,0.7006802721088435,0.7324918310512741,0.6880194706263107
11,11115,Low,Low,3.3175675675675675,1.8018818896089213,0.9764143429533609,0.6845637583892618,1.0010217371458499,1.0252017950884036
12,11116,High,High,4.72108843537415,1.362867751304293,1.650814136450922,0.7687074829931972,1.52970569415061,0.926637142470392
13,11116,High,Low,5.061643835616438,1.131214254637598,1.530408074563991,0.7465753424657534,2.0437399684272,1.3354215796394409
14,11116,Low,High,4.831081081081081,1.2637009702302748,1.471126634906333,0.75,1.49172154081814,1.0139994106714805
15,11116,Low,Low,3.865771812080537,1.2517669771623332,1.2554971924537033,0.7181208053691275,1.4181359521274999,1.129541316899276
16,11117,High,High,3.0208333333333335,1.6021210462640738,1.1477774431709256,0.7054794520547946,0.7989157075225141,0.6960545463547156
17,11117,High,Low,2.893617021276596,1.4285404024412856,1.137555183282132,0.7092198581560284,1.2122486128543202,1.0656613680548481
18,11117,Low,High,3.0208333333333335,1.4127474826673279,1.3060807403333383,0.7361111111111112,0.7070113081571031,0.5413228189680368
19,11117,Low,Low,2.6875,1.6272679093963234,1.2208128466089365,0.7291666666666666,1.05925510061302,0.8676637893804304
20,11118,High,High,4.208053691275167,1.308998564723879,1.6478344941812881,0.7919463087248322,2.0305997742296698,1.2322838133319665
21,11118,High,Low,4.285714285714286,1.3412295576854376,1.3519892733709393,0.7364864864864865,2.62076889188026,1.9384539089913408
22,11118,Low,High,3.5547945205479454,1.4572078791679814,1.299938042371176,0.7414965986394558,1.69896690972591,1.306959912202337
23,11118,Low,Low,3.547945205479452,1.3382153005804869,1.7271194240926042,0.7959183673469388,1.6316562432185102,0.944726936920272
28,11120,High,High,4.102739726027397,1.4602369186468422,1.5233891119203693,0.7755102040816326,1.3033902089576002,0.8555858767524991
29,11120,High,Low,4.448275862068965,1.280305839754874,2.0719576479351955,0.8482758620689655,2.03107061773794,0.9802664739609898
30,11120,Low,High,4.033783783783784,1.4559646386333043,1.3113747445789756,0.7432432432432432,1.5073740436415701,1.1494609377470673
31,11120,Low,Low,4.0137931034482754,1.5185917564231204,1.2655273985099127,0.7328767123287672,1.5032457471501597,1.187841329172444
32,11121,High,High,3.7103448275862068,1.629108469200219,1.274762053806449,0.7379310344827587,1.76435312331376,1.3840646715560667
33,11121,High,Low,4.527027027027027,1.517334207197564,1.9842067028652675,0.8378378378378378,1.2673235699531498,0.6387054171942308
34,11121,Low,High,4.1866666666666665,1.6722216715124887,1.2891440701113037,0.74,1.75444367068669,1.360936850553261
