;SUBJ;mean_A-V+;mean_A+V+;mean_A+V-;mean_A-V-;lower_A-V+;lower_A+V+;lower_A+V-;lower_A-V-;upper_A-V+;upper_A+V+;upper_A+V-;upper_A-V-;d_A-V+;d_A+V+;d_A+V-;d_A-V-;criterion_A-V+;criterion_A+V+;criterion_A+V-;criterion_A-V-;mratio_A-V+;mratio_A+V+;mratio_A+V-;mratio_A-V-
1;Subject_11113.txt;150.840.360.213.489;177.215.285.543.997;125.302.972.355.209;0.974468960920984;0.921165823514556;113.870.816.029.148;0.64289443004477;0.364697876209455;215.164.133.227.875;237.600.089.204.384;185.999.005.571.464;156.515.469.167.747;139.546.018.261.224;110.779.637.078.802;107.094.475.647.559;109.439.636.363.196;0.300471080846769;0.143914863206674;0.163810924145426;0.0398924229888892;108.093.632.547.167;159.970.993.060.698;117.002.274.484.795;0.890416848322688
2;Subject_11114.txt;181.908.821.140.718;122.093.137.647.914;124.480.208.288.205;154.765.189.228.379;118.087.660.646.853;0.624305452980362;0.563994688217828;0.969502768148966;243.550.127.134.106;182.651.149.802.567;191.756.215.687.942;212.592.273.649.868;161.187.250.942.183;123.184.485.569.687;18.687.657.767.672;112.693.759.796.175;0.109428833131898;0.230601961440867;0.0878584990942971;0.244829435016502;112.855.588.812.025;0.991140540817898;0.666109203388479;137.332.528.001.813
3;Subject_11115.txt;145.663.837.544.347;15.090.375.595.781;0.749904718206432;100.026.153.184.731;0.868418669796137;0.931032584987049;0.163317201999831;0.416264277750834;20.461.610.862.678;210.093.074.866.828;130.125.264.278.943;157.256.507.867.699;118.664.768.246.567;120.838.894.726.361;104.853.712.560.023;0.984040232480712;0.168867277551615;0.354251667378982;0.160748215674986;0.151325289152561;122.752.388.680.084;124.880.119.351.911;0.71519138416501;101.648.438.634.029
4;Subject_11116.txt;204.050.573.155.534;152.640.919.014.559;149.259.919.559.128;143.533.082.386.988;147.931.769.596.014;0.894458550661701;0.91853424014158;0.838970599493479;262.867.582.649.266;210.159.732.848.291;208.236.261.780.433;199.264.046.842.022;141.088.353.271.277;162.742.840.190.636;143.447.281.368.514;124.685.828.239.955;0.503548287214535;0.460174953198297;0.433112973533438;0.407377338702516;144.626.093.100.113;0.937927093049115;1.040.521.076.002;115.115.794.964.895
5;Subject_11117.txt;123.814.546.538.341;0.791145118405459;0.697319957044565;106.015.089.287.674;0.640365968188616;0.210762998629938;0.0811044779258548;0.476570974131352;179.252.422.614.733;136.703.291.604.007;125.711.525.379.191;164.515.636.900.989;114.249.206.328.065;110.423.377.321.253;126.563.382.555.185;121.436.168.468.113;0.284945416892132;0.344613103343177;0.232861271680451;0.130799629863603;108.372.347.185.336;0.716465242775354;0.550965012917947;0.873010822270072
7;Subject_11119.txt;299.866.891.939.591;31.283.895.064.521;254.840.507.993.293;228.932.303.636.502;230.365.769.651.711;247.772.013.562.069;189.545.222.120.619;170.050.096.369.937;369.256.887.355.786;379.431.071.872.711;317.711.591.168.396;290.191.471.415.647;198.118.326.775.961;167.755.620.662.726;160.911.305.561.977;172.901.796.683.488;0.218398419691118;0.0765869845291824;0.476995037734717;0.593867343641604;151.357.472.485.971;186.484.929.333.113;158.373.277.193.465;132.405.971.498.135
8;Subject_11120.txt;203.624.077.000.751;129.002.546.395.229;15.079.866.306.683;148.873.640.191.005;134.659.892.201.299;0.663476436864568;0.923578663575965;0.91651813277182;265.822.626.209.671;188.979.343.294.092;209.653.374.933.345;208.588.330.153.879;193.651.078.934.741;149.652.740.345.549;125.848.937.306.985;123.529.695.728.111;#FIELD!;#FIELD!;#FIELD!;#FIELD!;105.149.983.217.687;0.862012590597149;11.982.513.821.232;120.516.479.307.677
9;Subject_11121.txt;128.069.131.372.645;181.894.410.429.053;175.225.737.649.672;20.303.847.661.178;0.589255450238536;121.717.902.663.079;114.058.226.384.448;138.853.133.989.533;189.912.745.276.038;241.470.088.799.618;232.668.280.867.348;264.782.969.686.638;196.362.366.352.441;126.618.593.163.656;126.960.378.043.665;167.201.552.225.543;0.106821097614683;#FIELD!;0.060538344396203;#FIELD!;0.652208128021742;143.655.371.525.059;138.016.080.567.598;121.433.368.236.854
10;Subject_11122.txt;180.921.408.007.458;167.296.129.075.855;210.684.442.653.741;199.166.891.364.526;120.910.077.759.419;100.335.364.526.242;153.585.472.525.121;138.240.865.145.655;24.326.663.240.114;229.052.801.029.456;273.661.727.921.565;25.819.401.928.611;14.399.417.302.785;152.356.806.959.203;139.561.596.331.475;118.787.262.238.315;0.145707319317126;0.187520488973893;#FIELD!;#FIELD!;125.644.950.905.385;10.980.548.386.043;15.096.161.708.651;167.666.875.733.654
11;Subject_11123.txt;207.719.299.813.608;147.911.771.623.311;156.938.683.386.998;126.602.874.459.488;147.298.492.159.802;0.900591120898304;0.992998552309983;0.689395887926875;265.687.987.336.047;204.085.279.286.264;217.918.534.569.567;183.172.060.178.713;117.437.150.611.171;146.898.874.434.038;128.009.625.670.404;0.935019304144487;0.337242946803033;0.415855008205816;0.141958758401699;0.0305797178780753;17.687.699.227.424;100.689.520.047.839;122.599.126.874.318;135.401.348.291.226
13;Subject_11125.txt;168.602.657.161.074;14.195.191.639.067;206.539.527.661.816;109.977.086.617.363;110.110.009.665.727;0.808059282690467;143.017.660.417.722;0.512183211180699;224.379.495.446.815;204.875.759.907.247;268.802.754.699.004;166.448.638.275.076;101.907.777.207.585;140.339.003.564.618;17.025.948.495.409;122.540.556.560.092;0.327131663203449;0.173295716324434;#FIELD!;0.262287951347061;165.446.310.164.957;101.149.297.618.684;121.308.676.410.896;0.89747500504808
15;Subject_11127.txt;251.400.606.773.461;243.251.693.390.482;191.977.986.014.248;186.403.113.356.189;186.245.648.761.515;179.291.990.222.551;130.924.274.223.859;12.238.090.315.828;320.769.184.947.689;306.554.413.866.932;25.316.912.965.015;254.459.607.830.204;192.233.143.250.555;167.730.059.487.878;122.517.126.869.165;167.412.850.468.268;0.172924381755291;0.337745827003445;0.175655700151658;0.00946013694795977;130.779.012.673.058;14.502.570.030.273;156.694.815.590.362;111.343.372.288.808
17;Subject_11129.txt;119.769.010.975.269;158.421.033.123.391;0.992503036753795;131.066.900.533.867;0.560983336150638;0.973355039643168;0.416279680306899;0.733329214457081;181.076.575.281.754;21.937.116.995.137;157.939.166.457.281;184.818.616.440.335;147.734.712.136.825;148.962.863.366.494;114.939.680.661.667;0.745209521834466;0.0433333260695937;0.170550771010345;#FIELD!;0.0884813276081018;0.810703248024369;106.349.347.443.481;0.863499037965223;175.879.261.729.269
