,Accuracy,Arousal,Confidence,Confidence_RT,Expected,KeyPressed,LearningTime,LeftWord,MarkerStart,RT,RightWord,TrialNumber,Valence,nBlock
0,1.0,Low,3.0,2.848,right,right,30.0,roof,2.0,1.8694692139106337,lamp,0.0,High,0.0
1,1.0,Low,7.0,0.884,left,left,30.0,herring,4.0,0.8959305630414747,greyhound,1.0,High,0.0
2,1.0,Low,6.0,1.164,left,left,30.0,propeller,1.0,1.0403081238619052,lad,2.0,High,0.0
3,1.0,Low,4.0,0.81,right,right,30.0,pulpit,3.0,0.9016934493556619,ceiling,3.0,High,0.0
4,1.0,Low,2.0,1.523,right,right,30.0,pan,2.0,0.8376857603725512,introductory,4.0,High,0.0
5,0.0,Low,5.0,2.02,right,left,30.0,delicate,4.0,1.0849813998793252,website,5.0,High,0.0
6,1.0,Low,6.0,1.016,left,left,30.0,flock,6.0,1.2149267224303912,cabin,6.0,High,0.0
7,0.0,Low,5.0,1.112,right,left,30.0,wear,1.0,0.9738453375175595,newspaper,7.0,High,0.0
8,1.0,Low,6.0,0.758,left,left,30.0,native,5.0,0.9242782276705839,bathroom,8.0,High,0.0
9,0.0,Low,3.0,1.422,right,left,30.0,hair,5.0,1.4649799755425192,brief,9.0,High,0.0
10,1.0,Low,3.0,0.901,right,right,30.0,cow,2.0,0.924499260232551,rock,10.0,High,0.0
11,1.0,Low,5.0,1.131,left,left,30.0,verify,5.0,0.8352046780637465,urinate,11.0,High,0.0
12,1.0,Low,3.0,1.11,left,left,30.0,fitting,5.0,1.1013782293593977,bedspread,12.0,High,0.0
13,1.0,Low,6.0,1.29,right,right,30.0,lightbulb,1.0,1.4085201149282511,fig,13.0,High,0.0
14,1.0,Low,6.0,1.003,left,left,30.0,jelly,2.0,0.8915817717788741,phone,14.0,High,0.0
15,1.0,Low,3.0,1.083,left,left,30.0,key,6.0,1.0383486655191518,circle,15.0,High,0.0
16,1.0,Low,7.0,0.978,right,right,30.0,oven,4.0,1.4724174480361398,clarinet,16.0,High,0.0
17,1.0,Low,7.0,1.141,right,right,30.0,tolerant,2.0,1.2206097290327307,flute,17.0,High,0.0
18,1.0,Low,3.0,1.121,right,right,30.0,mobile,5.0,1.3234533816867042,sympathetic,18.0,High,0.0
19,0.0,Low,2.0,0.902,left,right,30.0,western,3.0,1.1307585554604884,flow,19.0,High,0.0
20,1.0,Low,7.0,1.197,right,right,30.0,stable,2.0,1.1581880848971196,consoled,20.0,High,0.0
21,0.0,Low,1.0,1.141,right,left,30.0,patio,2.0,1.511818343977211,velvet,21.0,High,0.0
22,1.0,Low,4.0,1.307,left,left,30.0,humble,5.0,1.118866747856373,poetry,22.0,High,0.0
23,0.0,Low,2.0,1.868,right,left,30.0,herbal,6.0,1.4311007228388917,horse,23.0,High,0.0
24,1.0,Low,2.0,1.432,left,left,30.0,furniture,3.0,1.5095566902018618,proper,24.0,High,0.0
25,1.0,Low,2.0,0.853,left,left,30.0,patience,2.0,2.30337278341176,reflection,25.0,High,0.0
26,0.0,Low,1.0,1.406,right,left,30.0,camera,2.0,-0.6281453027331736,shrimp,26.0,High,0.0
27,1.0,Low,5.0,1.052,right,right,30.0,coin,3.0,0.9412573126901407,candid,27.0,High,0.0
28,1.0,Low,2.0,1.682,right,right,30.0,rational,6.0,0.9108764052507468,practical,28.0,High,0.0
29,1.0,Low,3.0,0.876,right,right,30.0,doll,2.0,1.232202870043693,leaves,29.0,High,0.0
30,0.0,Low,1.0,1.381,left,right,30.0,open,6.0,2.0499061974987853,grass,30.0,High,0.0
31,1.0,Low,3.0,0.936,right,right,30.0,binoculars,5.0,1.3903008095512632,afternoon,31.0,High,0.0
32,1.0,Low,6.0,0.847,right,right,30.0,rose,5.0,1.2850549918657634,hamburger,32.0,High,0.0
33,1.0,Low,3.0,1.345,right,right,30.0,familiar,6.0,1.001232841896126,precise,33.0,High,0.0
34,0.0,Low,1.0,1.042,left,right,30.0,tree,2.0,1.4392548668838572,autumn,34.0,High,0.0
35,0.0,Low,1.0,0.606,right,left,30.0,apple,1.0,2.1320276480109897,dress,35.0,High,0.0
36,1.0,Low,5.0,1.048,left,left,30.0,cottage,2.0,1.201307717099553,countryside,36.0,High,0.0
37,1.0,Low,5.0,1.108,left,left,30.0,favor,1.0,1.5080033671401907,nourish,37.0,High,0.0
38,1.0,Low,2.0,1.174,left,left,30.0,cooperative,6.0,1.6767467987083364,nice,38.0,High,0.0
39,0.0,Low,1.0,1.752,right,left,30.0,responsible,3.0,1.4241800622839946,crown,39.0,High,0.0
40,1.0,Low,5.0,1.279,right,right,30.0,honey,6.0,1.952695185522316,breathe,40.0,High,0.0
41,0.0,Low,1.0,1.034,left,right,30.0,moon,5.0,2.4732977286039386,graceful,41.0,High,0.0
42,0.0,Low,1.0,1.052,left,right,30.0,caring,5.0,1.2737101515813265,leisurely,42.0,High,0.0
43,0.0,Low,2.0,1.057,left,right,30.0,silk,5.0,1.5898091485141777,serene,43.0,High,0.0
44,1.0,Low,3.0,1.933,left,left,30.0,relaxed,6.0,1.7439807929331437,haven,44.0,High,0.0
45,1.0,Low,3.0,1.189,left,left,30.0,comfort,5.0,1.2953235415916424,fluffy,45.0,High,0.0
46,0.0,Low,5.0,1.079,left,right,30.0,protected,3.0,1.7712823224137537,bless,46.0,High,0.0
47,0.0,Low,2.0,1.067,left,right,30.0,sunflower,3.0,2.6671381386113353,sky,47.0,High,0.0
48,1.0,Low,2.0,1.492,left,left,30.0,nature,1.0,1.3342028135666624,kind,48.0,High,0.0
49,1.0,Low,2.0,1.01,right,right,30.0,peace,4.0,2.454903265374014,sunset,49.0,High,0.0
50,1.0,High,6.0,0.922,left,left,30.0,bolt,3.0,1.132563387247501,dragon,0.0,High,1.0
51,1.0,High,5.0,1.218,left,left,30.0,body,5.0,1.238057184877107,fuck,1.0,High,1.0
52,1.0,High,5.0,1.015,right,right,30.0,zealous,3.0,1.2637938424013555,dare,2.0,High,1.0
53,1.0,High,5.0,1.995,right,right,30.0,nudist,3.0,1.0767130503372755,lotion,3.0,High,1.0
54,0.0,High,6.0,1.422,right,left,30.0,night,6.0,2.8651996607368346,alcohol,4.0,High,1.0
55,1.0,High,4.0,2.953,right,right,30.0,drunk,6.0,1.0016107466071844,rare,5.0,High,1.0
56,1.0,High,5.0,2.649,left,left,30.0,spice,1.0,1.3621212451544125,chest,6.0,High,1.0
57,1.0,High,2.0,1.662,left,left,30.0,important,1.0,1.9964461559720803,duet,7.0,High,1.0
58,1.0,High,4.0,0.93,left,left,30.0,boost,3.0,2.7389153300900944,extreme,8.0,High,1.0
59,1.0,High,7.0,0.987,left,left,30.0,sports,3.0,1.0530731543840375,try,9.0,High,1.0
60,1.0,High,1.0,1.147,left,left,30.0,bikini,4.0,2.770549610751914,cheerleader,10.0,High,1.0
61,1.0,High,5.0,1.393,right,right,30.0,astonished,3.0,1.9314808731433004,zoom,11.0,High,1.0
62,1.0,High,5.0,1.108,right,right,30.0,mountain,2.0,1.8337347634951584,interested,12.0,High,1.0
63,1.0,High,7.0,1.25,right,right,30.0,mingle,2.0,1.9119058587530162,clothes,13.0,High,1.0
64,1.0,High,7.0,1.249,left,left,30.0,brain,1.0,0.8218339734303299,attain,14.0,High,1.0
65,1.0,High,5.0,1.276,left,left,30.0,restaurant,2.0,1.893373129889369,curiosity,15.0,High,1.0
66,1.0,High,4.0,1.575,left,left,30.0,zest,1.0,1.2315343187656254,sing,16.0,High,1.0
67,1.0,High,7.0,1.289,right,right,30.0,outgoing,2.0,1.1978963091096375,penthouse,17.0,High,1.0
68,1.0,High,3.0,0.867,left,left,30.0,perfect,3.0,1.3192540841409937,mail,18.0,High,1.0
69,1.0,High,5.0,1.032,left,left,30.0,special,2.0,1.7554247610387392,firefighter,19.0,High,1.0
70,1.0,High,1.0,0.917,left,left,30.0,cartoon,2.0,2.140666844585212,climax,20.0,High,1.0
71,1.0,High,5.0,1.838,right,right,30.0,game,6.0,1.1069406144379172,spirit,21.0,High,1.0
72,1.0,High,2.0,1.024,left,left,30.0,attract,4.0,2.6586933479702566,doughnut,22.0,High,1.0
73,0.0,High,3.0,0.88,left,right,30.0,rhythm,3.0,2.6828458854579367,earn,23.0,High,1.0
74,1.0,High,7.0,1.41,left,left,30.0,explore,2.0,1.0068026054068469,model,24.0,High,1.0
75,1.0,High,4.0,0.737,right,right,30.0,charisma,4.0,1.14545802178327,actor,25.0,High,1.0
76,0.0,High,5.0,0.9,right,left,30.0,inspired,3.0,1.386018745106412,midnight,26.0,High,1.0
77,1.0,High,2.0,0.878,right,right,30.0,gourmet,2.0,1.9500902736617718,adore,27.0,High,1.0
78,1.0,High,3.0,1.958,left,left,30.0,energetic,6.0,1.4682787820347585,energy,28.0,High,1.0
79,0.0,High,2.0,0.577,right,left,30.0,life,2.0,2.426084663486108,dazzle,29.0,High,1.0
80,0.0,High,4.0,1.739,right,left,30.0,impressed,1.0,1.8189801192493178,wonderful,30.0,High,1.0
81,1.0,High,3.0,1.145,right,right,30.0,brownie,4.0,1.4104330569680315,best,31.0,High,1.0
82,1.0,High,5.0,0.974,right,right,30.0,festival,6.0,1.0592854842252564,stunning,32.0,High,1.0
83,1.0,High,5.0,1.118,right,right,30.0,sister,3.0,1.0101062239555176,appreciative,33.0,High,1.0
84,0.0,High,Nan,Nan,right,left,30.0,personality,4.0,1.4883949893410318,eat,34.0,High,1.0
85,1.0,High,3,1.319,left,left,30.0,like,6.0,1.6002387407934293,bright,35.0,High,1.0
86,1.0,High,5,1.074,right,right,30.0,puppy,1.0,0.9851619472610764,talent,36.0,High,1.0
87,1.0,High,3,1.016,right,right,30.0,magnificence,1.0,1.8294212604523636,cookie,37.0,High,1.0
88,1.0,High,3,1.065,left,left,30.0,ambitious,1.0,1.9509266043605749,cheeseburger,38.0,High,1.0
89,0.0,High,5,1.259,left,right,30.0,cruiseship,2.0,1.2850463302165736,birth,39.0,High,1.0
90,1.0,High,3,0.769,right,right,30.0,kissing,3.0,1.4784870209987275,satisfaction,40.0,High,1.0
91,0.0,High,3,0.833,right,left,30.0,progress,5.0,1.1672449656471144,pretty,41.0,High,1.0
92,1.0,High,7,0.933,left,left,30.0,justice,6.0,2.02308105895645,accomplish,42.0,High,1.0
93,1.0,High,4,0.814,left,left,30.0,smiling,5.0,1.6965518281213008,diamond,43.0,High,1.0
94,1.0,High,3,0.834,right,right,30.0,diploma,2.0,1.1449508338992018,engaged,44.0,High,1.0
95,1.0,High,2,0.832,right,right,30.0,sex,2.0,0.9358745766803622,giggle,45.0,High,1.0
96,1.0,High,2,0.938,left,left,30.0,joke,3.0,2.970083613821771,god,46.0,High,1.0
97,1.0,High,4,1.105,left,left,30.0,enthusiastic,6.0,1.0076899436244275,enjoy,47.0,High,1.0
98,0.0,High,3,0.797,right,left,30.0,excellence,2.0,1.4857698669657111,affection,48.0,High,1.0
99,1.0,High,3,0.744,left,left,30.0,funny,4.0,1.2394940568192396,ecstatic,49.0,High,1.0
100,1.0,Low,7,0.836,left,left,90.0,mane,5.0,0.9152643343841191,vegetable,0.0,High,2.0
101,1.0,Low,7,0.896,left,left,90.0,carrot,4.0,0.8894404187449254,easel,1.0,High,2.0
102,1.0,Low,7,0.893,right,right,90.0,coat,5.0,0.7927279330033343,cup,2.0,High,2.0
103,1.0,Low,7,0.772,right,right,90.0,chew,5.0,0.6571958444546908,suburban,3.0,High,2.0
104,1.0,Low,7,1.02,right,right,90.0,chess,3.0,0.7884561341779772,hat,4.0,High,2.0
105,1.0,Low,7,0.749,right,right,90.0,sensitive,5.0,0.9115751119097695,cattle,5.0,High,2.0
106,1.0,Low,7,0.861,right,right,90.0,outlet,4.0,0.9463789158617146,refine,6.0,High,2.0
107,1.0,Low,7,1.325,left,left,90.0,telescope,1.0,1.1758626685186755,farm,7.0,High,2.0
108,0.0,Low,7,1.221,left,right,90.0,beads,2.0,1.178217354870867,tend,8.0,High,2.0
109,1.0,Low,7,1.034,right,right,90.0,number,3.0,1.0819485382235143,method,9.0,High,2.0
110,1.0,Low,3,1.079,right,right,90.0,read,6.0,0.9983844413654879,quiet,10.0,High,2.0
111,1.0,Low,7,0.892,left,left,90.0,dew,4.0,0.9154484746977687,windmill,11.0,High,2.0
112,1.0,Low,7,1.29,left,left,90.0,straighten,1.0,0.8874014015018474,golfer,12.0,High,2.0
113,1.0,Low,7,1.034,left,left,90.0,scarf,3.0,0.7984426990151405,candle,13.0,High,2.0
114,1.0,Low,7,1.282,left,left,90.0,land,1.0,1.2425930036988575,send,14.0,High,2.0
115,0.0,Low,1,0.984,left,right,90.0,teacher,4.0,2.3465742201078683,pecan,15.0,High,2.0
116,1.0,Low,7,0.672,right,right,90.0,rink,5.0,1.00555596902268,leg,16.0,High,2.0
117,1.0,Low,7,1.101,right,right,90.0,cat,2.0,0.9965103163558524,den,17.0,High,2.0
118,0.0,Low,3,1.895,left,right,90.0,harvest,3.0,1.9517401581106242,gender,18.0,High,2.0
119,1.0,Low,7,0.808,left,left,90.0,sheltered,6.0,1.1325374022999313,modest,19.0,High,2.0
