"","SUBJ","RT.median","Confidence_RT.median","Accuracy_in_percent","Handedness_R_1","Total_Accepted_Trials","Gender_M_1","meta_d_0_30","meta_d_0_60","meta_d_0_90","meta_d_1_30","meta_d_1_60","meta_d_1_90","d_0_30","d_0_60","d_0_90","d_1_30","d_1_60","d_1_90","criterion_0_30","criterion_0_60","criterion_0_90","criterion_1_30","criterion_1_60","criterion_1_90","mratio_0_30","mratio_0_60","mratio_0_90","mratio_1_30","mratio_1_60","mratio_1_90","Confidence.mean_0_30","Confidence.mean_0_60","Confidence.mean_0_90","Confidence.mean_1_30","Confidence.mean_1_60","Confidence.mean_1_90","Accuracy.mean_0_30","Accuracy.mean_0_60","Accuracy.mean_0_90","Accuracy.mean_1_30","Accuracy.mean_1_60","Accuracy.mean_1_90"
"1","Subject_11114.txt",1.61116163745464,0.8655,0.857142857142857,1,42,1,0.918894796077515,NA,NA,NA,NA,NA,0.64608709572484,NA,NA,NA,NA,NA,0.165732863252249,NA,NA,NA,NA,NA,1.42224601320448,NA,NA,NA,NA,NA,2.76086956521739,NA,NA,NA,NA,NA,0.630434782608696,NA,NA,NA,NA,NA
"2","Subject_11115.txt",1.4278098900686,0.9425,0.625,1,48,1,NA,1.19833901078675,NA,NA,NA,NA,NA,1.28617823787879,NA,NA,NA,NA,NA,0.29898665605638,NA,NA,NA,NA,NA,0.931705245427795,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA
"3","Subject_11116.txt",1.66019031267206,0.992,0.702127659574468,1,47,1,NA,NA,1.62135057980645,NA,NA,NA,NA,NA,1.28617823787879,NA,NA,NA,NA,NA,0.29898665605638,NA,NA,NA,NA,NA,1.26059556292947,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,0.74,NA,NA,NA
"4","Subject_11117.txt",1.51737015372782,1.025,0.86046511627907,1,43,1,NA,NA,NA,0.584390130616909,NA,NA,NA,NA,NA,1.39050125830171,NA,NA,NA,NA,NA,0.246825145844921,NA,NA,NA,NA,NA,0.42027299661034,NA,NA,NA,NA,NA,3.02,NA,NA,NA,NA,NA,0.76,NA,NA
"5","Subject_11118.txt",1.50395789663889,0.9925,0.76,1,50,1,NA,NA,NA,NA,1.79576761246396,NA,NA,NA,NA,NA,1.34897950039216,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1.33120452307979,NA,NA,NA,NA,NA,3.62,NA,NA,NA,NA,NA,0.76,NA
"6","Subject_11119.txt",1.37934855348431,1.138,0.76,1,50,1,NA,NA,NA,NA,NA,2.8867825498683,NA,NA,NA,NA,NA,2.02535544506789,NA,NA,NA,NA,NA,0.0144765503810565,NA,NA,NA,NA,NA,1.4253214451311,NA,NA,NA,NA,NA,5.76744186046512,NA,NA,NA,NA,NA,0.86046511627907
"7","Subject_11120.txt",1.61257060054049,1.0005,0.930232558139535,1,43,1,0.437862554816322,NA,NA,NA,NA,NA,1.23237451303568,NA,NA,NA,NA,NA,0.0583024936782415,NA,NA,NA,NA,NA,0.355299911013045,NA,NA,NA,NA,NA,2.32,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA
"8","Subject_11121.txt",1.52448779121914,0.9015,0.74,1,50,1,NA,0.188080769785701,NA,NA,NA,NA,NA,1.88415154999155,NA,NA,NA,NA,NA,2.22044604925031e-16,NA,NA,NA,NA,NA,0.0998225274323313,NA,NA,NA,NA,NA,2.92,NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA
"9","Subject_11122.txt",1.52513934043236,1.026,0.84,1,50,1,NA,NA,1.9314732905296,NA,NA,NA,NA,NA,2.71980363628988,NA,NA,NA,NA,NA,0.152487767922739,NA,NA,NA,NA,NA,0.710151742117805,NA,NA,NA,NA,NA,4.93023255813953,NA,NA,NA,NA,NA,0.930232558139535,NA,NA,NA
"10","Subject_11123.txt",1.59968590259086,1.016,0.74,1,50,1,NA,NA,NA,0.486560122284007,NA,NA,NA,NA,NA,0.671759493677215,NA,NA,NA,NA,NA,0.436313467350077,NA,NA,NA,NA,NA,0.724307027833093,NA,NA,NA,NA,NA,2.9375,NA,NA,NA,NA,NA,0.625,NA,NA
