mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,A_key_resp.keys,A_key_resp.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,word,ParticipantID,date,expName,psychopyVersion,OS,frameRate
-0.099074062,-0.082407416,1,0,0,-0.099074062,-0.082407416,1,0,0,-0.099074062,-0.082407416,1,0,0,-0.099074062,-0.082407416,1,0,0,6,17.69500017,7,13.18300009,1,0,1200,59,1,1199,sports,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,3.899000168,5,0.84100008,1,0,1200,743,1,1199,herbal,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,6.235000134,8,4.123000145,1,0,1200,271,1,1199,applaud,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,3,4.954000235,4,9.991000175,1,0,1200,533,1,1199,busy,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,3.360000372,5,1.287000179,1,0,1200,423,1,1199,stain,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,3,7.851000309,4,3.055000067,1,0,1200,1121,1,1199,ban,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,3.667000055,5,0.389000177,1,0,1200,603,1,1199,mane,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,5.302999973,8,2.832000256,1,0,1200,829,1,1199,innocent,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,3.139000177,5,0.347000122,1,0,1200,632,1,1199,avenue,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,5.279000044,1,2.004000187,1,0,1200,976,1,1199,tumor,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.716000319,5,0.285000086,1,0,1200,646,1,1199,wear,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,4.286000252,9,2.924000263,1,0,1200,229,1,1199,heaven,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,5.162000179,5,2.372000217,1,0,1200,207,1,1199,erect,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.926000118,5,0.764000177,1,0,1200,600,1,1199,parlor,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,3.87100029,3,1.338999987,1,0,1200,1041,1,1199,sin,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,3.936000109,4,0.624000072,1,0,1200,599,1,1199,obstinate,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,17.96500015,1,0.509000301,1,0,1200,904,1,1199,murderer,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.338000298,5,0.408000231,1,0,1200,579,1,1199,bus,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.890000105,6,1.869000196,1,0,1200,847,1,1199,moon,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,12.18300033,1,1.691000223,1,0,1200,983,1,1199,demonic,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,1,3.520000219,9,1.904000282,1,0,1200,863,1,1199,fireplace,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,2.462000132,7,1.599000216,1,0,1200,49,1,1199,ecstatic,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,9,2.139000177,9,1.104000092,1,0,1200,195,1,1199,laughing,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,3,5.727000237,6,2.489000082,1,0,1200,795,1,1199,soup,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,4.028000116,3,7.421000242,1,0,1200,473,1,1199,senseless,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,5.335000277,8,1.40500021,1,0,1200,113,1,1199,bridesmaid,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.604000092,2,2.140000105,1,0,1200,373,1,1199,ignorance,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,3.272000074,7,1.522000074,1,0,1200,802,1,1199,familiar,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.959000111,3,1.437000036,1,0,1200,325,1,1199,disability,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,4.021000147,2,1.230000257,1,0,1200,991,1,1199,harass,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.851000071,5,0.323000193,1,0,1200,639,1,1199,outlet,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,4.141000032,4,0.840000153,1,0,1200,436,1,1199,mediocre,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,2.38800025,9,2.360000134,1,0,1200,835,1,1199,helpful,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,4.483000278,6,4.619000196,1,0,1200,108,1,1199,naked,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,9,3.97200036,8,2.738000154,1,0,1200,193,1,1199,party,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.144000053,3,0.837000132,1,0,1200,372,1,1199,inferior,11121,2019-10-22_09h03.28.172,SurveyExpMetaMem,3.2.3,Win32,60
