"","Word","List","ValMn","ValSD","AroMn","AroSD"
"1","preach",3,5.41,"2.44",5.89,"2.44"
"2","dragon",2,5.43,"1.85",5.5,"1.85"
"3","intense",6,5.44,"1.94",6.32,"1.94"
"4","ticket",4,5.46,"2.56",5.79,"2.56"
"5","vodka",1,5.52,"2.34",5.86,"2.34"
"6","sword",5,5.52,"2.14",6.08,"2.14"
"7","gorilla",3,5.56,"1.95",5.52,"1.95"
"8","fuck",4,5.56,"2.45",6.19,"2.45"
"9","wet",2,5.57,"1.76",5.57,"1.76"
"10","mischief",6,5.57,"2.05",5.76,"2.05"
"11","lion",1,5.57,"1.99",6.2,"1.99"
"12","alien",5,5.6,"1.82",5.45,"1.82"
"13","zealous",2,5.67,"2.02",5.47,"2.02"
"14","lawyer",4,5.7,"2.27",5.85,"2.27"
"15","mercy",6,5.71,"2.41",5.43,"2.41"
"16","motorcycle",3,5.72,"2.68",6.46,"2.68"
"17","dare",1,5.76,"2.20",6.57,"2.20"
"18","infatuated",5,5.77,"1.77",6.27,"1.77"
"19","soldier",3,5.79,"2.02",5.48,"2.02"
"20","rapid",5,5.79,"1.74",6.17,"1.74"
"21","conquest",6,5.85,"1.71",6.5,"1.71"
"22","skyscraper",1,5.88,"1.87",5.71,"1.87"
"23","nudist",2,5.89,"1.86",6.18,"1.86"
"24","tiger",4,5.89,"2.45",6.41,"2.45"
"25","penis",5,5.9,"1.72",5.54,"1.72"
"26","weightlifter",2,5.93,"1.70",5.5,"1.70"
"27","crazy",6,5.93,"1.95",6.28,"1.95"
"28","alcohol",3,5.97,"2.15",5.94,"2.15"
"29","tits",4,6,"2.35",5.5,"2.35"
"30","race",1,6.07,"2.00",5.43,"2.00"
"31","defend",6,6.07,"1.89",5.97,"1.89"
"32","curious",3,6.08,"1.63",5.82,"1.63"
"33","ass",5,6.09,"2.02",6,"2.02"
"34","basketball",4,6.14,"2.04",5.94,"2.04"
"35","zeal",2,6.15,"1.66",5.41,"1.66"
"36","rare",1,6.16,"1.89",5.44,"1.89"
"37","gym",6,6.21,"1.87",6.14,"1.87"
"38","eagerness",4,6.21,"1.89",6.29,"1.89"
"39","comet",5,6.23,"2.10",5.97,"2.10"
"40","rally",1,6.23,"1.79",6.5,"1.79"
"41","voyage",3,6.25,"1.91",5.55,"1.91"
"42","empire",2,6.26,"1.67",5.65,"1.67"
"43","lick",2,6.27,"1.51",5.7,"1.51"
"44","sandwich",1,6.28,"1.56",5.59,"1.56"
"45","jet",4,6.29,"1.70",5.89,"1.70"
"46","reveal",3,6.29,"1.98",6.32,"1.98"
"47","important",6,6.31,"1.91",5.49,"1.91"
"48","cockpit",5,6.31,"1.65",5.53,"1.65"
"49","poker",1,6.31,"1.85",5.64,"1.85"
"50","cleavage",6,6.33,"1.99",5.53,"1.99"
"51","luggage",4,6.33,"1.40",5.7,"1.40"
