"","Word","List","ValMn","ValSD","AroMn","AroSD"
"1","parlor",1,5.4,"1.28",3.83,"1.28"
"2","roof",6,5.4,"1.50",4.07,"1.50"
"3","mane",5,5.4,"1.38",4.33,"1.38"
"4","dusk",2,5.4,"1.50",4.37,"1.50"
"5","lamp",3,5.41,"1.00",3.8,"1.00"
"6","year",4,5.41,"1.41",4.22,"1.41"
"7","easel",5,5.41,"1.43",4.43,"1.43"
"8","greyhound",2,5.42,"1.78",4.39,"1.78"
"9","carrot",1,5.43,"1.74",3.9,"1.74"
"10","miniature",4,5.43,"1.64",4.28,"1.64"
"11","herring",6,5.43,"1.25",4.37,"1.25"
"12","propeller",3,5.43,"1.55",4.43,"1.55"
"13","cup",6,5.44,"1.05",3.7,"1.05"
"14","crossword",4,5.44,"1.58",3.96,"1.58"
"15","lad",3,5.44,"1.13",4.06,"1.13"
"16","elevator",2,5.44,"1.18",4.16,"1.18"
"17","basket",1,5.45,"1.15",3.63,"1.15"
"18","coat",5,5.45,"1.30",3.78,"1.30"
"19","pulpit",2,5.45,"1.45",4.11,"1.45"
"20","spray",5,5.45,"1.63",4.14,"1.63"
"21","revere",1,5.45,"2.05",4.29,"2.05"
"22","valley",3,5.46,"1.55",3.7,"1.55"
"23","suburban",4,5.46,"1.56",3.94,"1.56"
"24","hat",6,5.46,"1.36",4.1,"1.36"
"25","pan",1,5.46,"1.23",4.54,"1.23"
"26","wallet",3,5.47,"1.60",4.26,"1.60"
"27","introductory",4,5.47,"1.51",4.36,"1.51"
"28","chess",6,5.48,"1.24",4.07,"1.24"
"29","yolk",2,5.48,"1.77",4.07,"1.77"
"30","website",5,5.49,"1.40",4.25,"1.40"
"31","behave",3,5.5,"2.05",3.93,"2.05"
"32","avenue",2,5.5,"1.37",4.12,"1.37"
"33","glacier",1,5.5,"1.25",4.24,"1.25"
"34","sensitive",6,5.5,"1.87",4.27,"1.87"
"35","vessel",4,5.5,"1.68",4.31,"1.68"
"36","flock",5,5.5,"1.22",4.5,"1.22"
"37","room",3,5.52,"1.12",3.77,"1.12"
"38","quench",4,5.52,"1.86",3.93,"1.86"
"39","cabin",6,5.52,"1.75",4.28,"1.75"
"40","writer",5,5.52,"1.90",4.33,"1.90"
"41","newspaper",2,5.52,"1.29",4.42,"1.29"
"42","gate",1,5.52,"1.15",4.52,"1.15"
"43","thumb",3,5.52,"1.24",4.54,"1.24"
"44","farm",2,5.53,"1.85",3.9,"1.85"
"45","telescope",6,5.53,"1.46",4,"1.46"
"46","wear",1,5.53,"1.53",4.03,"1.53"
"47","accord",5,5.53,"1.20",4.24,"1.20"
"48","atlas",4,5.53,"1.38",4.53,"1.38"
"49","museum",1,5.54,"1.86",3.6,"1.86"
"50","beads",6,5.54,"1.32",4.11,"1.32"
"51","sit",5,5.55,"1.30",3.75,"1.30"
"52","bathroom",2,5.55,"1.36",3.88,"1.36"
"53","tend",4,5.55,"1.62",3.93,"1.62"
"54","detail",3,5.55,"1.58",4.1,"1.58"
