"","Word","List","ValMn","ValSD","AroMn","AroSD"
"1","suicide",4,1.25,"0.69",5.73,"0.69"
"2","rape",2,1.25,"0.91",6.81,"0.91"
"3","cancer",5,1.5,"0.85",6.42,"0.85"
"4","torture",3,1.56,"0.79",6.1,"0.79"
"5","slaughter",1,1.64,"1.18",6.77,"1.18"
"6","syphilis",6,1.68,"1.23",5.69,"1.23"
"7","betray",6,1.68,"1.02",7.24,"1.02"
"8","terrorist",2,1.69,"1.42",7.27,"1.42"
"9","suffer",3,1.72,"1.34",6.13,"1.34"
"10","terrified",4,1.72,"1.14",7.86,"1.14"
"11","disaster",5,1.73,"1.13",6.33,"1.13"
"12","abusive",1,1.77,"1.32",5.78,"1.32"
"13","fail",3,1.79,"1.74",6.31,"1.74"
"14","mourn",5,1.8,"1.73",5.87,"1.73"
"15","abuse",2,1.8,"1.23",6.83,"1.23"
"16","mutilate",1,1.82,"1.45",6.41,"1.45"
"17","starvation",6,1.82,"1.68",6.46,"1.68"
"18","slave",4,1.84,"1.13",6.21,"1.13"
"19","pollute",5,1.85,"1.11",6.08,"1.11"
"20","gunpoint",6,1.87,"1.47",6.59,"1.47"
"21","loss",1,1.89,"1.25",5.78,"1.25"
"22","killer",3,1.89,"1.39",7.86,"1.39"
"23","hurt",2,1.9,"1.26",5.85,"1.26"
"24","nightmare",4,1.91,"1.54",7.59,"1.54"
"25","heartbreak",5,1.93,"1.49",5.8,"1.49"
"26","disloyal",3,1.93,"1.61",6.56,"1.61"
"27","distressed",1,1.94,"1.10",6.4,"1.10"
"28","jail",6,1.95,"1.27",5.49,"1.27"
"29","furious",4,1.96,"1.43",7.64,"1.43"
"30","toothache",2,1.98,"1.15",5.55,"1.15"
"31","poison",3,1.98,"1.44",6.05,"1.44"
"32","hatred",1,1.98,"1.92",6.66,"1.92"
"33","bankrupt",2,2,"1.31",6.21,"1.31"
"34","afraid",4,2,"1.28",6.67,"1.28"
"35","sob",6,2.03,"1.32",5.86,"1.32"
"36","despise",5,2.03,"1.38",6.28,"1.38"
"37","seasick",5,2.05,"1.20",5.8,"1.20"
"38","accident",3,2.05,"1.19",6.26,"1.19"
"39","malnutrition",1,2.06,"1.27",5.68,"1.27"
"40","vomit",6,2.06,"1.57",5.75,"1.57"
"41","war",4,2.08,"1.91",7.49,"1.91"
"42","leprosy",2,2.09,"1.40",6.29,"1.40"
"43","stress",2,2.09,"1.41",7.45,"1.41"
"44","aggravation",5,2.1,"1.06",6.1,"1.06"
"45","toxic",3,2.1,"1.48",6.4,"1.48"
"46","bomb",1,2.1,"1.19",7.15,"1.19"
"47","demon",6,2.11,"1.56",6.76,"1.56"
"48","amputate",4,2.12,"1.40",5.5,"1.40"
"49","shame",3,2.13,"1.14",6.33,"1.14"
"50","pain",6,2.13,"1.81",6.5,"1.81"
"51","thief",2,2.13,"1.69",6.89,"1.69"
"52","stressful",4,2.14,"1.61",5.91,"1.61"
"53","dictator",1,2.15,"1.55",5.5,"1.55"
"54","castrate",5,2.16,"1.99",5.75,"1.99"
"55","troubled",6,2.17,"1.21",5.94,"1.21"
"56","detest",2,2.17,"1.30",6.06,"1.30"
"57","crushed",1,2.21,"1.74",5.52,"1.74"
"58","devil",5,2.21,"1.99",6.07,"1.99"
"59","traitor",3,2.22,"1.69",5.78,"1.69"
"60","punishment",4,2.22,"1.41",5.93,"1.41"
"61","irritated",3,2.23,"1.55",6.13,"1.55"
"62","crucify",6,2.23,"1.72",6.47,"1.72"
"63","sickness",1,2.25,"1.71",5.61,"1.71"
"64","poisonous",5,2.25,"1.55",5.62,"1.55"
"65","fearful",2,2.25,"1.18",6.33,"1.18"
"66","regret",4,2.26,"1.44",5.67,"1.44"
"67","grieve",3,2.27,"1.36",5.6,"1.36"
"68","traffic",1,2.27,"1.31",5.8,"1.31"
"69","gangrene",4,2.28,"1.91",5.7,"1.91"
"70","horrible",6,2.28,"1.98",5.75,"1.98"
"71","insult",2,2.29,"1.33",6,"1.33"
"72","whore",5,2.3,"2.11",5.85,"2.11"
"73","worry",4,2.31,"1.51",6,"1.51"
"74","homicide",2,2.34,"1.72",5.66,"1.72"
"75","roach",5,2.35,"1.70",6.64,"1.70"
"76","insecure",3,2.36,"1.33",5.56,"1.33"
"77","tumor",1,2.36,"2.04",6.51,"2.04"
"78","execution",6,2.37,"2.06",5.71,"2.06"
"79","putrid",6,2.38,"1.71",5.74,"1.71"
"80","starving",5,2.39,"1.82",5.61,"1.82"
"81","harassment",2,2.41,"1.62",5.75,"1.62"
"82","liar",4,2.41,"1.64",6.38,"1.64"
"83","rage",3,2.41,"1.86",8.17,"1.86"
"84","frustration",1,2.42,"1.55",6.19,"1.55"
"85","robbery",5,2.42,"1.52",6.9,"1.52"
"86","demonic",6,2.43,"1.89",5.53,"1.89"
"87","despairing",3,2.43,"1.47",5.68,"1.47"
"88","pollution",4,2.43,"1.79",5.77,"1.79"
"89","disgusted",2,2.45,"1.41",5.42,"1.41"
"90","deserter",1,2.45,"1.80",5.5,"1.80"
"91","decapitate",5,2.45,"1.90",6.41,"1.90"
"92","banish",4,2.46,"1.40",5.68,"1.40"
"93","enraged",1,2.46,"1.65",7.97,"1.65"
"94","ambulance",6,2.47,"1.50",7.33,"1.50"
"95","frustrated",3,2.48,"1.64",5.61,"1.64"
"96","harass",2,2.48,"1.18",5.64,"1.18"
"97","die",5,2.48,"1.70",6.38,"1.70"
"98","guillotine",1,2.48,"2.11",6.56,"2.11"
"99","sting",3,2.48,"1.76",6.78,"1.76"
"100","virus",2,2.5,"1.75",5.46,"1.75"
"101","threat",6,2.5,"1.21",6.08,"1.21"
"102","embarrass",4,2.5,"1.45",6.14,"1.45"
"103","jealousy",5,2.51,"1.83",6.36,"1.83"
"104","smallpox",4,2.52,"2.08",5.58,"2.08"
"105","burglar",2,2.52,"1.45",6.62,"1.45"
"106","pissed",3,2.53,"1.65",6.01,"1.65"
"107","rash",1,2.54,"1.79",5.43,"1.79"
"108","accuse",6,2.54,"1.37",6.57,"1.37"
"109","injure",6,2.55,"1.89",5.53,"1.89"
"110","tornado",2,2.55,"1.78",6.83,"1.78"
"111","cavity",3,2.59,"1.90",6.14,"1.90"
"112","gang",4,2.59,"1.42",6.52,"1.42"
"113","arson",1,2.6,"2.12",6.58,"2.12"
"114","robber",5,2.61,"1.69",5.62,"1.69"
"115","guilty",4,2.63,"1.98",6.04,"1.98"
"116","destroy",1,2.64,"2.03",6.83,"2.03"
"117","frighten",3,2.65,"1.45",5.71,"1.45"
"118","awful",5,2.66,"1.78",5.72,"1.78"
"119","aggravated",6,2.66,"1.45",5.79,"1.45"
"120","distress",2,2.67,"2.01",5.7,"2.01"
"121","fraud",1,2.67,"1.66",5.75,"1.66"
"122","theft",3,2.67,"1.49",5.96,"1.49"
"123","malice",5,2.69,"1.84",5.86,"1.84"
"124","attack",6,2.7,"2.07",7.03,"2.07"
"125","creepy",4,2.71,"1.45",5.49,"1.45"
"126","turmoil",2,2.71,"2.04",5.87,"2.04"
"127","disorder",1,2.72,"1.46",5.42,"1.46"
"128","burn",5,2.73,"1.72",6.22,"1.72"
"129","hostile",6,2.73,"1.50",6.44,"1.50"
"130","deadly",4,2.73,"1.89",6.62,"1.89"
"131","crisis",3,2.74,"2.23",5.44,"2.23"
"132","gunfire",2,2.74,"1.72",6.42,"1.72"
"133","abduction",1,2.76,"2.06",5.53,"2.06"
"134","exam",4,2.76,"1.99",7.03,"1.99"
"135","horror",3,2.76,"2.25",7.21,"2.25"
"136","pester",2,2.77,"1.45",5.77,"1.45"
"137","expel",5,2.77,"1.43",5.9,"1.43"
"138","anxiety",6,2.77,"1.59",6.72,"1.59"
"139","intruder",5,2.77,"2.32",6.86,"2.32"
"140","scared",3,2.78,"1.99",6.82,"1.99"
"141","displeased",4,2.79,"2.23",5.64,"2.23"
