mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,A_key_resp.keys,A_key_resp.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,word,ParticipantID,date,expName,psychopyVersion,OS,frameRate
0.24629633,-0.163888909,1,0,0,0.24629633,-0.163888909,1,0,0,0.24629633,-0.163888909,1,0,0,0.24629633,-0.163888909,1,0,0,4,9.48900032,3,2.715000153,1,0,1200,1142,1,1199,disturb,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,2.510000229,6,1.251000166,1,0,1200,71,1,1199,spirit,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,4,2.367000103,6,0.763000011,1,0,1200,843,1,1199,garden,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,4,5.276000023,2,0.696000099,1,0,1200,964,1,1199,grieve,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,3.636000156,5,0.260999918,1,0,1200,206,1,1199,comet,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,2.286000013,6,4.888999939,1,0,1200,17,1,1199,outgoing,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.163000107,5,0.127000093,1,0,1200,601,1,1199,roof,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.476000071,4,1.345000029,1,0,1200,927,1,1199,jail,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.285000086,5,0.137000322,1,0,1200,672,1,1199,ketchup,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.684000254,3,0.941000223,1,0,1200,919,1,1199,loss,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.417000055,5,0.125000238,1,0,1200,421,1,1199,stale,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.584000111,5,0.112000227,1,0,1200,464,1,1199,tick,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,3.647000313,4,0.79700017,1,0,1200,537,1,1199,absurd,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,3.072000027,4,0.5400002,1,0,1200,1122,1,1199,gossip,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,2.150000095,4,1.823000193,1,0,1200,52,1,1199,dare,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.380000114,5,0.128999949,1,0,1200,613,1,1199,cup,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,4,2.878000021,5,0.166000128,1,0,1200,829,1,1199,innocent,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,1.94900012,4,0.697000027,1,0,1200,1102,1,1199,nuclear,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,2.800000191,5,1.461000204,1,0,1200,251,1,1199,meteor,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.125000238,5,0.273999929,1,0,1200,681,1,1199,fig,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.225000143,5,0.142000198,1,0,1200,283,1,1199,elated,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,2.039000034,4,0.697999954,1,0,1200,1115,1,1199,invade,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.151000023,5,0.121000051,1,0,1200,702,1,1199,den,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,2.873000145,7,0.657999992,1,0,1200,833,1,1199,nice,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,2.15500021,5,0.997000217,1,0,1200,1053,1,1199,surgery,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,2.411000252,4,0.21600008,1,0,1200,1029,1,1199,abduction,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.775000095,5,0.124000072,1,0,1200,361,1,1199,glum,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,1.908000231,4,0.111999989,1,0,1200,550,1,1199,fart,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.102000237,5,0.119000196,1,0,1200,1060,1,1199,dent,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.102999926,5,0.111999989,1,0,1200,476,1,1199,warden,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.407999992,5,0.127000093,1,0,1200,872,1,1199,dignified,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,0.838999987,5,0.146000147,1,0,1200,873,1,1199,useful,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,0.930999994,5,0.140000105,1,0,1200,629,1,1199,barn,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,4,2.242000103,4,0.129000187,1,0,1200,408,1,1199,bore,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.039999962,5,0.138999939,1,0,1200,220,1,1199,reef,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,4.208000183,3,0.587000132,1,0,1200,963,1,1199,dreadful,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.073000193,5,0.111000299,1,0,1200,75,1,1199,actor,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,2.295000076,5,0.105999947,1,0,1200,1180,1,1199,heat,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,0.973999977,5,0.124000072,1,0,1200,393,1,1199,droop,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,0.838000298,5,0.101999998,1,0,1200,210,1,1199,elephant,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,4,2.210000038,4,0.119000196,1,0,1200,373,1,1199,ignorance,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.2900002,5,0.11500001,1,0,1200,588,1,1199,bandage,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,2.14199996,3,0.497000217,1,0,1200,994,1,1199,repulsed,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.559999943,5,0.131000042,1,0,1200,145,1,1199,me,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.610000134,5,0.13100028,1,0,1200,637,1,1199,flock,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.046000242,5,0.130000114,1,0,1200,685,1,1199,makeup,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,2.412000179,4,0.098999977,1,0,1200,912,1,1199,rabies,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.226000071,5,0.131999969,1,0,1200,1075,1,1199,apprehension,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.006999969,5,0.124000072,1,0,1200,10,1,1199,cheerleader,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,2.100000143,6,0.109999895,1,0,1200,190,1,1199,rescue,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.844000101,6,0.093000174,1,0,1200,13,1,1199,mingle,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,3.80700016,5,0.138000011,1,0,1200,623,1,1199,suburban,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.662000179,4,0.096000195,1,0,1200,1148,1,1199,suspicious,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,5.656000137,1,1.461000204,1,0,1200,901,1,1199,rape,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,4.628000021,9,0.641000271,1,0,1200,149,1,1199,loved,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.576000214,5,0.123000145,1,0,1200,684,1,1199,send,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,0.914000034,5,0.132000208,1,0,1200,710,1,1199,gender,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,0.993000031,5,0.13800025,1,0,1200,865,1,1199,bliss,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,2.975000143,4,0.565000057,1,0,1200,523,1,1199,witch,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,4,2.460999966,4,0.109000206,1,0,1200,318,1,1199,disappointment,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.106000185,5,0.101000071,1,0,1200,599,1,1199,obstinate,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,2.559999943,4,0.098999977,1,0,1200,968,1,1199,insult,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,1.602999926,2,0.970000029,1,0,1200,969,1,1199,whore,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.461000204,5,0.117000103,1,0,1200,593,1,1199,errand,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,4,2.430000067,4,0.110000134,1,0,1200,1076,1,1199,embarrassed,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.038000107,4,0.06400013,1,0,1200,300,1,1199,unhappy,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.414000034,5,0.14199996,1,0,1200,261,1,1199,windsurfers,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,2.578999996,5,1.09100008,1,0,1200,20,1,1199,climax,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.377000093,5,0.111000061,1,0,1200,568,1,1199,therapy,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,3.861000061,4,0.079000235,1,0,1200,985,1,1199,pollution,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,1.937999964,5,0.097000122,1,0,1200,278,1,1199,king,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.190000057,5,0.110000134,1,0,1200,538,1,1199,crumbs,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,2.09800005,5,1.011000156,1,0,1200,1171,1,1199,chaos,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,2.209000111,4,0.112000227,1,0,1200,1065,1,1199,slap,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.128999949,5,0.130000114,1,0,1200,163,1,1199,gem,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,2.25600028,6,0.111000061,1,0,1200,16,1,1199,sing,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.282999992,4,0.114000082,1,0,1200,305,1,1199,frown,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.90899992,5,0.130000114,1,0,1200,592,1,1199,sweep,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.058000088,4,0.114000082,1,0,1200,1023,1,1199,disorder,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.757000208,4,0.068000078,1,0,1200,398,1,1199,handicapped,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.631000042,5,0.119000196,1,0,1200,806,1,1199,tree,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.761000156,4,0.077000141,1,0,1200,1061,1,1199,difficult,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.384000301,5,0.15500021,1,0,1200,215,1,1199,salary,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,2.285000086,3,0.639000177,1,0,1200,992,1,1199,addict,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,4,2.227999926,5,0.158000231,1,0,1200,561,1,1199,plain,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,1.792999983,4,0.158000231,1,0,1200,1005,1,1199,pissed,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,2.703000069,5,0.078999996,1,0,1200,1092,1,1199,rattlesnake,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,2.01699996,4,0.425000191,1,0,1200,357,1,1199,whine,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,2.45600009,6,0.09800005,1,0,1200,11,1,1199,astonished,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,2.28000021,3,0.893000126,1,0,1200,584,1,1199,anus,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.622999907,5,0.111000061,1,0,1200,147,1,1199,cure,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,1.676000118,6,0.111000061,1,0,1200,299,1,1199,champion,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,1.677000046,5,0.094000101,1,0,1200,112,1,1199,jaguar,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,3.268000126,4,0.223999977,1,0,1200,475,1,1199,nameless,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,2.159000158,6,0.10400033,1,0,1200,295,1,1199,passion,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,1.262000084,6,0.126000166,1,0,1200,116,1,1199,carnival,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,1.877000093,3,0.916000128,1,0,1200,909,1,1199,terrified,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.094000101,5,0.127000093,1,0,1200,466,1,1199,gnaw,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,2.103000164,3,1.148000002,1,0,1200,1033,1,1199,horror,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,4,2.457000017,4,0.111000061,1,0,1200,490,1,1199,detached,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,2.22300005,6,0.378999949,1,0,1200,487,1,1199,junk,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,4,4.296000004,4,0.118000269,1,0,1200,392,1,1199,moody,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.880000114,6,0.111000299,1,0,1200,892,1,1199,untroubled,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,3.031000137,5,0.107000113,1,0,1200,673,1,1199,bedspread,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,3,2.976999998,6,1.671000242,1,0,1200,899,1,1199,relax,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,1.82400012,4,0.247000217,1,0,1200,1194,1,1199,obsession,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,2.375000238,6,0.691000223,1,0,1200,105,1,1199,curious,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,3.845000029,5,0.120000124,1,0,1200,480,1,1199,hinder,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,0.800000191,5,0.099000216,1,0,1200,734,1,1199,piano,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,0.757000208,5,0.117000103,1,0,1200,714,1,1199,courtyard,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.075000048,5,0.11500001,1,0,1200,380,1,1199,expire,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,0.990000248,5,0.127000093,1,0,1200,1160,1,1199,enlist,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.265000105,5,0.143000126,1,0,1200,636,1,1199,refine,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,1.614000082,5,0.086000204,1,0,1200,69,1,1199,special,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.281000137,5,0.141000032,1,0,1200,526,1,1199,dry,11137,2019-10-22_21h05.46.359,SurveyExpMetaMem,3.2.3,Win32,60
