,Arousal,KeyPressed,LearningTime,RT,Response,TrialNumber,Valence,nBlock
0,High,right,30.0,4.279335849222205,0.0,0.0,Low,0.0
1,High,left,30.0,2.4489667469090532,1.0,1.0,Low,0.0
2,High,left,30.0,-0.31203729786139434,0.0,2.0,Low,0.0
3,High,left,30.0,2.1629676020636217,1.0,3.0,Low,0.0
4,High,left,30.0,6.3147181339510725,1.0,4.0,Low,0.0
5,High,right,30.0,0.3685184358714726,1.0,5.0,Low,0.0
6,High,right,30.0,4.624626923781291,1.0,6.0,Low,0.0
7,High,left,30.0,-1.3881606818256533,0.0,7.0,Low,0.0
8,High,right,30.0,3.3278344212813797,1.0,8.0,Low,0.0
9,High,right,30.0,1.3319924711867448,0.0,9.0,Low,0.0
10,High,left,30.0,3.7959388792131725,1.0,10.0,Low,0.0
11,High,right,30.0,1.8650070663818727,1.0,11.0,Low,0.0
12,High,left,30.0,-1.0362358833818899,0.0,12.0,Low,0.0
13,High,right,30.0,2.8168615107394883,1.0,13.0,Low,0.0
14,High,right,30.0,4.0609123129347715,1.0,14.0,Low,0.0
15,High,right,30.0,4.093570603879403,1.0,15.0,Low,0.0
16,High,left,30.0,1.299990213851157,1.0,16.0,Low,0.0
17,High,right,30.0,2.521637596182387,0.0,17.0,Low,0.0
18,High,left,30.0,1.3399275642816462,1.0,18.0,Low,0.0
19,High,left,30.0,0.3891286534531062,0.0,19.0,Low,0.0
20,High,right,30.0,0.7482052285922782,1.0,20.0,Low,0.0
21,High,left,30.0,-0.866339321889793,0.0,21.0,Low,0.0
22,High,left,30.0,4.985843452273722,0.0,22.0,Low,0.0
23,High,left,30.0,1.1859340119766981,0.0,23.0,Low,0.0
24,High,left,30.0,0.9548936644433541,0.0,24.0,Low,0.0
25,High,left,30.0,0.22560086905871302,1.0,25.0,Low,0.0
26,High,right,30.0,1.8235390072955007,1.0,26.0,Low,0.0
27,High,left,30.0,3.6575181931158243,0.0,27.0,Low,0.0
28,High,left,30.0,1.4696019129622062,1.0,28.0,Low,0.0
29,High,left,30.0,1.1561472293897703,1.0,29.0,Low,0.0
30,High,left,30.0,2.794319921449926,0.0,30.0,Low,0.0
31,High,left,30.0,3.6652781212080474,0.0,31.0,Low,0.0
32,High,left,30.0,1.2308316982031444,1.0,32.0,Low,0.0
33,High,left,30.0,3.1341540215405415,1.0,33.0,Low,0.0
34,High,right,30.0,0.7934426136448611,0.0,34.0,Low,0.0
35,High,right,30.0,3.2806226860299788,0.0,35.0,Low,0.0
36,High,right,30.0,1.7485201117681344,1.0,36.0,Low,0.0
37,High,left,30.0,3.5345511636657974,0.0,37.0,Low,0.0
38,High,right,30.0,4.338089697070515,0.0,38.0,Low,0.0
39,High,left,30.0,2.181828488993256,0.0,39.0,Low,0.0
40,High,right,30.0,3.16739267650813,0.0,40.0,Low,0.0
41,High,left,30.0,0.10284576587437821,0.0,41.0,Low,0.0
42,High,left,30.0,-1.0163084376724967,0.0,42.0,Low,0.0
43,High,right,30.0,2.3085788375481466,1.0,43.0,Low,0.0
44,High,right,30.0,1.1353763627467897,0.0,44.0,Low,0.0
45,High,right,30.0,6.250844226188205,1.0,45.0,Low,0.0
46,High,right,30.0,5.148009329744273,0.0,46.0,Low,0.0
47,High,right,30.0,-0.4080777004891667,0.0,47.0,Low,0.0
48,High,left,30.0,5.590969684651226,1.0,48.0,Low,0.0
49,High,left,30.0,1.3299993914128105,1.0,49.0,Low,0.0
50,Low,right,30.0,2.0265345399361863,1.0,0.0,High,1.0
51,Low,left,30.0,0.8025762941865555,1.0,1.0,High,1.0
52,Low,right,30.0,1.7682805592926383,1.0,2.0,High,1.0
53,Low,left,30.0,-1.1206667440288505,0.0,3.0,High,1.0
54,Low,left,30.0,2.696833439474906,1.0,4.0,High,1.0
55,Low,left,30.0,3.757540711330528,0.0,5.0,High,1.0
56,Low,right,30.0,0.790069701749238,0.0,6.0,High,1.0
57,Low,right,30.0,2.9076779894725315,1.0,7.0,High,1.0
58,Low,left,30.0,2.994504245708348,1.0,8.0,High,1.0
59,Low,left,30.0,-0.23599301089311542,0.0,9.0,High,1.0
60,Low,right,30.0,1.7789738287698402,1.0,10.0,High,1.0
61,Low,left,30.0,2.999855072289087,1.0,11.0,High,1.0
62,Low,right,30.0,-1.169501496827913,0.0,12.0,High,1.0
63,Low,right,30.0,0.5995635718861352,1.0,13.0,High,1.0
64,Low,left,30.0,2.4799107587166462,0.0,14.0,High,1.0
65,Low,left,30.0,4.298520758955652,1.0,15.0,High,1.0
66,Low,right,30.0,4.624923123213646,0.0,16.0,High,1.0
67,Low,right,30.0,0.1641012821020995,1.0,17.0,High,1.0
68,Low,left,30.0,0.9610926536589063,0.0,18.0,High,1.0
69,Low,right,30.0,2.0724071687366905,0.0,19.0,High,1.0
70,Low,right,30.0,2.7699941585986996,1.0,20.0,High,1.0
71,Low,left,30.0,0.4308879731996602,0.0,21.0,High,1.0
72,Low,right,30.0,2.754590142649948,1.0,22.0,High,1.0
73,Low,right,30.0,2.7976252417719008,1.0,23.0,High,1.0
74,Low,right,30.0,0.43470828033435005,1.0,24.0,High,1.0
75,Low,left,30.0,2.545883164774226,1.0,25.0,High,1.0
76,Low,right,30.0,2.9240736721382117,1.0,26.0,High,1.0
77,Low,left,30.0,0.3999807409291025,1.0,27.0,High,1.0
78,Low,right,30.0,1.973339275625427,0.0,28.0,High,1.0
79,Low,left,30.0,3.0390632830248117,0.0,29.0,High,1.0
80,Low,right,30.0,0.31509120065278307,1.0,30.0,High,1.0
81,Low,right,30.0,2.2636028359223435,0.0,31.0,High,1.0
82,Low,left,30.0,2.5807715478359485,1.0,32.0,High,1.0
83,Low,left,30.0,0.2329941149314807,1.0,33.0,High,1.0
84,Low,left,30.0,3.4345462285756776,1.0,34.0,High,1.0
85,Low,left,30.0,-0.6390682189191454,1.0,35.0,High,1.0
86,Low,right,30.0,2.184480656288171,1.0,36.0,High,1.0
87,Low,left,30.0,-0.3143179648306311,0.0,37.0,High,1.0
88,Low,left,30.0,0.3003097361334415,1.0,38.0,High,1.0
89,Low,right,30.0,-1.3312366411363863,1.0,39.0,High,1.0
90,Low,right,30.0,2.251812636950906,1.0,40.0,High,1.0
91,Low,right,30.0,1.0233432030149454,1.0,41.0,High,1.0
92,Low,right,30.0,4.799686126733317,0.0,42.0,High,1.0
93,Low,left,30.0,1.2055208505233037,1.0,43.0,High,1.0
94,Low,right,30.0,1.2154532328157404,0.0,44.0,High,1.0
95,Low,left,30.0,2.1557787589500936,1.0,45.0,High,1.0
96,Low,right,30.0,2.8235785755076757,0.0,46.0,High,1.0
97,Low,left,30.0,-2.3331657615983894,1.0,47.0,High,1.0
98,Low,left,30.0,0.7781208223270828,1.0,48.0,High,1.0
99,Low,left,30.0,-1.801243448931903,0.0,49.0,High,1.0
100,High,left,60.0,4.208934257490734,1.0,0.0,Low,2.0
101,High,right,60.0,1.5521296693972433,1.0,1.0,Low,2.0
102,High,right,60.0,-0.09749648933284494,0.0,2.0,Low,2.0
103,High,right,60.0,3.587815907034516,0.0,3.0,Low,2.0
104,High,right,60.0,4.447321136261248,0.0,4.0,Low,2.0
105,High,right,60.0,6.433245781956074,0.0,5.0,Low,2.0
106,High,left,60.0,2.2146215168445393,0.0,6.0,Low,2.0
107,High,left,60.0,0.017398020662077407,1.0,7.0,Low,2.0
108,High,left,60.0,7.6370290885449155,0.0,8.0,Low,2.0
109,High,right,60.0,3.023148503468248,0.0,9.0,Low,2.0
110,High,right,60.0,3.4483272135238985,0.0,10.0,Low,2.0
111,High,right,60.0,3.20177758632596,1.0,11.0,Low,2.0
112,High,right,60.0,3.6444808525753336,1.0,12.0,Low,2.0
113,High,left,60.0,-0.6021850999719942,1.0,13.0,Low,2.0
114,High,right,60.0,3.7996353768278084,1.0,14.0,Low,2.0
115,High,right,60.0,5.140407730802327,0.0,15.0,Low,2.0
116,High,left,60.0,3.4632851147830888,1.0,16.0,Low,2.0
117,High,left,60.0,-1.6646313838150988,0.0,17.0,Low,2.0
118,High,left,60.0,0.9626402904365285,0.0,18.0,Low,2.0
119,High,right,60.0,0.15263957462031064,0.0,19.0,Low,2.0
120,High,left,60.0,-0.12752956157174378,1.0,20.0,Low,2.0
121,High,left,60.0,3.7730215982004003,0.0,21.0,Low,2.0
122,High,left,60.0,3.234946171789667,0.0,22.0,Low,2.0
123,High,right,60.0,2.378695080500263,1.0,23.0,Low,2.0
124,High,right,60.0,3.0213370848975085,0.0,24.0,Low,2.0
125,High,right,60.0,0.4632627453539113,0.0,25.0,Low,2.0
