word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,introText.started,introText.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,InstructValenceText.started,InstructValenceText.stopped,Valence.started,Valence.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,InstructArousalText.started,InstructArousalText.stopped,Arousal.started,Arousal.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,WordPresentation.started,WordPresentation.stopped,ArousalGuide.started,ArousalGuide.stopped,text_3.started,text_3.stopped,A_key_resp.keys,A_key_resp.rt,A_key_resp.started,A_key_resp.stopped,WordPresentation2.started,WordPresentation2.stopped,ValenceImage.started,ValenceImage.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ParticipantID,date,expName,psychopyVersion,frameRate,
,,,,,666.6253747310002,None,-0.10888888888888888,0.23333333333333334,1,0,0,0.006307115821982734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,2019_Oct_21_1448,SurveyExpMetaMem,3.2.3,59.58571802185235,
,,,,,,,,,,,,,,667.2436403079992,None,-0.10888888888888888,0.23333333333333334,1,0,0,0.014894689400534844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,2019_Oct_21_1448,SurveyExpMetaMem,3.2.3,59.58571802185235,
,,,,,,,,,,,,,,,,,,,,,,,667.6441781279973,None,667.6441781279973,None,-0.10888888888888888,0.23333333333333334,1,0,0,0.014103865403740201,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,2019_Oct_21_1448,SurveyExpMetaMem,3.2.3,59.58571802185235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.3459506809995,None,668.3459506809995,None,0.042222222222222223,-0.07111111111111111,1,0,0,0.013644979400851298,None,,,,,,,,,,,,,,,,,,,,,234,2019_Oct_21_1448,SurveyExpMetaMem,3.2.3,59.58571802185235,
pushy,0,0,0,1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.6151030369983,None,681.6151030369983,None,681.6151030369983,None,5,5.27659642800063,0.0033264458033954725,None,686.9131294029976,None,686.9131294029976,None,686.9131294029976,None,5,1.065668998999172,0.0032343083985324483,None,234,2019_Oct_21_1448,SurveyExpMetaMem,3.2.3,59.58571802185235,
self,0,1,1,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.9986426639989,None,687.9986426639989,None,687.9986426639989,None,7,0.8677615740016336,0.0035965224014944397,None,688.8678502459989,None,688.8678502459989,None,688.8678502459989,None,7,0.27557896399957826,0.011355919399647973,None,234,2019_Oct_21_1448,SurveyExpMetaMem,3.2.3,59.58571802185235,
zit,0,2,2,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.167678646998,None,689.167678646998,None,689.167678646998,None,8,0.7474917899999127,0.008385645403905073,None,689.9372104439972,None,689.9372104439972,None,689.9372104439972,None,8,0.22414479900180595,0.008710168400284601,None,234,2019_Oct_21_1448,SurveyExpMetaMem,3.2.3,59.58571802185235,
motorcycle,0,3,3,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.171715704997,None,690.171715704997,None,690.171715704997,None,8,0.8071150030009449,0.0049665314036246855,None,690.9898429239984,None,690.9898429239984,None,690.9898429239984,None,8,0.3762510669985204,0.00799253139848588,None,234,2019_Oct_21_1448,SurveyExpMetaMem,3.2.3,59.58571802185235,
wither,0,4,4,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.3908314529981,None,691.3908314529981,None,691.3908314529981,None,8,0.563682448999316,0.006266984401008813,None,691.9760344329989,None,691.9760344329989,None,691.9760344329989,None,8,0.18517383099970175,0.007892213405284565,None,234,2019_Oct_21_1448,SurveyExpMetaMem,3.2.3,59.58571802185235,
kill,0,5,5,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.1767072119983,None,692.1767072119983,None,692.1767072119983,None,8,0.2686213870001666,0.005417005406343378,None,692.4609136559993,None,692.4609136559993,None,692.4609136559993,None,8,0.16618509799809544,0.01042835440239287,None,234,2019_Oct_21_1448,SurveyExpMetaMem,3.2.3,59.58571802185235,
sky,0,6,6,883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.6452578179997,None,692.6452578179997,None,692.6452578179997,None,8,0.12663003700072295,0.008246813398727681,None,692.7954623779988,None,692.7954623779988,None,692.7954623779988,None,8,0.14171816700036288,0.008999150402814848,None,234,2019_Oct_21_1448,SurveyExpMetaMem,3.2.3,59.58571802185235,
birth,0,7,7,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.9450317859992,None,692.9450317859992,None,692.9450317859992,None,8,0.13400395999997272,0.007548318404587917,None,693.0955517229995,None,693.0955517229995,None,693.0955517229995,None,8,0.10455957100202795,0.007315843402466271,None,234,2019_Oct_21_1448,SurveyExpMetaMem,3.2.3,59.58571802185235,
breathless,0,8,8,1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.2130336329974,None,693.2130336329974,None,693.2130336329974,None,8,0.09383089499897324,0.008903469399228925,None,693.3294148229979,None,693.3294148229979,None,693.3294148229979,None,8,0.09797183699993184,0.007356527403317159,None,234,2019_Oct_21_1448,SurveyExpMetaMem,3.2.3,59.58571802185235,
hawk,0,9,9,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.4465706129995,None,693.4465706129995,None,693.4465706129995,None,8,0.09654860799855669,0.00877092039809213,None,693.5632319209981,None,693.5632319209981,None,693.5632319209981,None,8,0.09197250099896337,0.008450222401734209,None,234,2019_Oct_21_1448,SurveyExpMetaMem,3.2.3,59.58571802185235,
consoled,0,10,10,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.6811363309971,None,693.6811363309971,None,693.6811363309971,None,8,0.10217777599973488,0.00610202939787996,None,693.7978858089991,None,693.7978858089991,None,693.7978858089991,None,8,0.06838054699983331,0.01024616740323836,None,234,2019_Oct_21_1448,SurveyExpMetaMem,3.2.3,59.58571802185235,
carefree,0,11,11,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.8815384279987,None,693.8815384279987,None,693.8815384279987,None,8,0.2948717109975405,0.007300106401089579,None,694.1980875699992,None,694.1980875699992,None,694.1980875699992,None,8,0.5559959489983157,0.0073886524005502,None,234,2019_Oct_21_1448,SurveyExpMetaMem,3.2.3,59.58571802185235,
