	Study	Distractor
0	university	starve
1	blight	twig
2	lighthouse	hands
3	tale	satisfied
4	boyfriend	competent
5	jazz	muffin
6	rumor	balcony
7	punishment	bean
8	boom	worth
9	cocoa	jazz
10	afford	starve
11	rapid	twig
12	jolly	hands
13	character	satisfied
14	chin	competent
15	vandal	muffin
16	spa	balcony
17	theory	bean
18	disrespectful	worth
19	infinite	jazz
20	soccer	starve
21	carwash	twig
22	envy	hands
23	shrink	satisfied
24	shiny	competent
25	dessert	muffin
26	acre	balcony
27	legendary	bean
28	basket	worth
29	arch	jazz
30	guitar	starve
31	fetus	twig
32	dozen	hands
33	greet	satisfied
34	bone	competent
35	coddle	muffin
36	flabby	balcony
37	gate	bean
38	approve	worth
39	virgin	jazz
40	unstable	starve
41	symphony	twig
42	high	hands
43	challenge	satisfied
44	ridiculous	competent
45	bracelet	muffin
46	daughter	balcony
47	baby	bean
48	critical	worth
49	rebellious	jazz
