word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,introText.started,introText.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,InstructValenceText.started,InstructValenceText.stopped,Valence.started,Valence.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,InstructArousalText.started,InstructArousalText.stopped,Arousal.started,Arousal.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,WordPresentation.started,WordPresentation.stopped,ArousalGuide.started,ArousalGuide.stopped,text_3.started,text_3.stopped,A_key_resp.keys,A_key_resp.rt,A_key_resp.started,A_key_resp.stopped,WordPresentation2.started,WordPresentation2.stopped,ValenceImage.started,ValenceImage.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ParticipantID,date,expName,psychopyVersion,frameRate,
,,,,,12.142756518998794,None,-0.4022222222222222,0.18777777777777777,1,0,0,0.0023535815889772493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,2019_Oct_21_1450,SurveyExpMetaMem,3.2.3,59.83595661337415,
,,,,,,,,,,,,,,13.229216507999809,None,-0.024444444444444446,-0.051111111111111114,1,0,0,0.015425089401105652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,2019_Oct_21_1450,SurveyExpMetaMem,3.2.3,59.83595661337415,
,,,,,,,,,,,,,,,,,,,,,,,15.033866214998852,None,15.033866214998852,None,-0.024444444444444446,-0.051111111111111114,1,0,0,0.014334717401652597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,2019_Oct_21_1450,SurveyExpMetaMem,3.2.3,59.83595661337415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.070420366999315,None,16.070420366999315,None,0.20555555555555555,-0.2388888888888889,1,0,0,0.014529342399328016,None,,,,,,,,,,,,,,,,,,,,,555,2019_Oct_21_1450,SurveyExpMetaMem,3.2.3,59.83595661337415,
warden,0,0,0,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.417767697999807,None,21.417767697999807,None,21.417767697999807,None,8,1.9042769789994054,0.012635597398912068,None,23.356325867000123,None,23.356325867000123,None,23.356325867000123,None,8,0.5354304289976426,0.0026554453979770187,None,555,2019_Oct_21_1450,SurveyExpMetaMem,3.2.3,59.83595661337415,
wear,0,1,1,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.907495911997103,None,23.907495911997103,None,23.907495911997103,None,6,0.5381492710002931,0.0037779543999931775,None,24.458759045999614,None,24.458759045999614,None,24.458759045999614,None,6,0.2944380170010845,0.009451659396290779,None,555,2019_Oct_21_1450,SurveyExpMetaMem,3.2.3,59.83595661337415,
stench,0,2,2,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.77634720199785,None,24.77634720199785,None,24.77634720199785,None,4,0.44873913300034474,0.0070558663974225055,None,25.244215943999734,None,25.244215943999734,None,25.244215943999734,None,4,0.2024734910010011,0.009369754399813246,None,555,2019_Oct_21_1450,SurveyExpMetaMem,3.2.3,59.83595661337415,
manure,0,3,3,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.461536628998147,None,25.461536628998147,None,25.461536628998147,None,6,0.38821987199844443,0.0068520204004016705,None,25.86326922399894,None,25.86326922399894,None,25.86326922399894,None,6,0.32735653900090256,0.009057566396222683,None,555,2019_Oct_21_1450,SurveyExpMetaMem,3.2.3,59.83595661337415,
redeem,0,4,4,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.213845346999733,None,26.213845346999733,None,26.213845346999733,None,4,0.33940136899764184,0.008615321396064246,None,26.564738576998934,None,26.564738576998934,None,26.564738576998934,None,4,0.20007997900029295,0.010127981400728459,None,555,2019_Oct_21_1450,SurveyExpMetaMem,3.2.3,59.83595661337415,
wart,0,5,5,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.781816994996916,None,26.781816994996916,None,26.781816994996916,None,4,0.3176013919983234,0.008099721395410597,None,27.116851532999135,None,27.116851532999135,None,27.116851532999135,None,4,0.14498304599692347,0.008350546399015002,None,555,2019_Oct_21_1450,SurveyExpMetaMem,3.2.3,59.83595661337415,
ridicule,0,6,6,1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.28327142499984,None,27.28327142499984,None,27.28327142499984,None,4,0.17740032199799316,0.005860637400473934,None,27.483811682999658,None,27.483811682999658,None,27.483811682999658,None,4,0.11466103700149688,0.006629392395552713,None,555,2019_Oct_21_1450,SurveyExpMetaMem,3.2.3,59.83595661337415,
impotent,0,7,7,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.61663362299805,None,27.61663362299805,None,27.61663362299805,None,4,0.11099824399934732,0.006626617399888346,None,27.751191245999507,None,27.751191245999507,None,27.751191245999507,None,4,0.08853115500096465,0.008598363398050424,None,555,2019_Oct_21_1450,SurveyExpMetaMem,3.2.3,59.83595661337415,
