ID,Word,List,ValMn,ValSD,AroMn,AroSD
1,parlor,6,5.4,1.28,3.83,1.28
2,roof,1,5.4,1.5,4.07,1.5
3,vegetable,3,5.4,2.06,4.07,2.06
4,mane,4,5.4,1.38,4.33,1.38
5,lamp,2,5.41,1,3.8,1
6,year,5,5.41,1.41,4.22,1.41
7,easel,3,5.41,1.43,4.43,1.43
8,greyhound,1,5.42,1.78,4.39,1.78
9,carrot,4,5.43,1.74,3.9,1.74
10,candlestick,5,5.43,1.48,4.27,1.48
11,miniature,6,5.43,1.64,4.28,1.64
12,herring,2,5.43,1.25,4.37,1.25
13,propeller,2,5.43,1.55,4.43,1.55
14,cup,4,5.44,1.05,3.7,1.05
15,crossword,6,5.44,1.58,3.96,1.58
16,lad,1,5.44,1.13,4.06,1.13
17,coat,3,5.45,1.3,3.78,1.3
18,tomato,5,5.45,1.97,3.79,1.97
19,ceiling,2,5.45,0.95,4.04,0.95
20,pulpit,1,5.45,1.45,4.11,1.45
21,spray,6,5.45,1.63,4.14,1.63
22,chew,3,5.45,1.74,4.26,1.74
23,revere,5,5.45,2.05,4.29,2.05
24,suburban,4,5.46,1.56,3.94,1.56
25,tower,6,5.46,1.75,3.95,1.75
26,hat,4,5.46,1.36,4.1,1.36
27,pan,1,5.46,1.23,4.54,1.23
28,introductory,2,5.47,1.51,4.36,1.51
29,chess,3,5.48,1.24,4.07,1.24
30,barn,5,5.48,2.01,4.27,2.01
31,website,2,5.49,1.4,4.25,1.4
32,delicate,1,5.5,1.87,3.81,1.87
33,avenue,5,5.5,1.37,4.12,1.37
34,cattle,4,5.5,1.74,4.2,1.74
35,glacier,6,5.5,1.25,4.24,1.25
36,sensitive,3,5.5,1.87,4.27,1.87
37,refine,4,5.5,1.41,4.48,1.41
38,flock,2,5.5,1.22,4.5,1.22
39,quench,5,5.52,1.86,3.93,1.86
40,outlet,3,5.52,1.53,3.97,1.53
41,cabin,1,5.52,1.75,4.28,1.75
42,writer,6,5.52,1.9,4.33,1.9
43,newspaper,2,5.52,1.29,4.42,1.29
44,library,6,5.53,1.65,3.54,1.65
45,farm,3,5.53,1.85,3.9,1.85
46,telescope,4,5.53,1.46,4,1.46
47,wear,1,5.53,1.53,4.03,1.53
48,accord,5,5.53,1.2,4.24,1.2
49,beads,4,5.54,1.32,4.11,1.32
50,donkey,6,5.54,1.5,4.22,1.5
51,native,2,5.55,1.45,3.86,1.45
52,bathroom,1,5.55,1.36,3.88,1.36
53,tend,3,5.55,1.62,3.93,1.62
54,detail,5,5.55,1.58,4.1,1.58
55,brief,2,5.55,1.6,4.12,1.6
56,name,6,5.55,2.24,4.25,2.24
57,number,3,5.55,1.15,4.34,1.15
58,peanut,5,5.56,2.1,3.74,2.1
59,method,4,5.56,1.76,3.85,1.76
60,hair,1,5.56,1.95,4.48,1.95
61,rock,2,5.56,1.38,4.52,1.38
62,cow,1,5.57,1.53,3.49,1.53
63,bib,5,5.57,1.91,4.37,1.91
64,trout,6,5.57,1.57,4.4,1.57
65,quiet,4,5.58,1.83,2.82,1.83
66,read,3,5.58,1.93,3.64,1.93
67,verify,2,5.58,1.2,4.4,1.2
68,dew,4,5.59,1.52,3.64,1.52
69,unit,6,5.59,1.87,3.75,1.87
70,plaza,5,5.59,1.32,3.89,1.32
71,urinate,1,5.59,1.58,4.1,1.58
72,windmill,3,5.6,1.65,3.74,1.65
73,ketchup,5,5.6,1.35,4.09,1.35
74,bedspread,1,5.6,1.94,4.21,1.94
75,fitting,2,5.6,1.66,4.5,1.66
76,golfer,3,5.61,1.93,3.73,1.93
77,straighten,4,5.61,1.37,4,1.37
78,handwriting,6,5.61,1.55,4.02,1.55
79,lightbulb,1,5.61,1.28,4.1,1.28
80,yellow,5,5.61,1.94,4.43,1.94
