ID,Word,List,ValMn,ValSD,AroMn,AroSD
1,suicide,4,1.25,0.69,5.73,0.69
2,rape,6,1.25,0.91,6.81,0.91
3,rejected,2,1.5,1.09,6.37,1.09
4,cancer,5,1.5,0.85,6.42,0.85
5,murderer,1,1.53,0.96,7.47,0.96
6,suffocate,3,1.56,0.96,6.03,0.96
7,syphilis,2,1.68,1.23,5.69,1.23
8,terrorist,1,1.69,1.42,7.27,1.42
9,suffer,3,1.72,1.34,6.13,1.34
10,terrified,6,1.72,1.14,7.86,1.14
11,abusive,4,1.77,1.32,5.78,1.32
12,rejection,5,1.77,1.22,6,1.22
13,rabies,1,1.77,0.97,6.1,0.97
14,ulcer,5,1.78,1.17,6.12,1.17
15,fail,2,1.79,1.74,6.31,1.74
16,abuse,6,1.8,1.23,6.83,1.23
17,starvation,4,1.82,1.68,6.46,1.68
18,slave,3,1.84,1.13,6.21,1.13
19,gunpoint,2,1.87,1.47,6.59,1.47
20,loss,5,1.89,1.25,5.78,1.25
21,hurt,1,1.9,1.26,5.85,1.26
22,humiliation,4,1.9,1.27,6.97,1.27
23,nightmare,3,1.91,1.54,7.59,1.54
24,punish,6,1.92,1.06,6.69,1.06
25,terrible,4,1.93,1.44,6.27,1.44
26,disloyal,1,1.93,1.61,6.56,1.61
27,dead,6,1.94,1.76,5.73,1.76
28,jail,3,1.95,1.27,5.49,1.27
29,cruel,5,1.97,1.67,5.68,1.67
30,mutilation,2,1.97,1.27,6.07,1.27
31,poison,5,1.98,1.44,6.05,1.44
32,overweight,2,2,1.21,5.52,1.21
33,bankrupt,6,2,1.31,6.21,1.31
34,afraid,1,2,1.28,6.67,1.28
35,sob,3,2.03,1.32,5.86,1.32
36,despise,4,2.03,1.38,6.28,1.38
37,assault,1,2.03,1.55,7.51,1.55
38,prison,5,2.05,1.34,5.7,1.34
39,seasick,4,2.05,1.2,5.8,1.2
40,vomit,6,2.06,1.57,5.75,1.57
41,war,2,2.08,1.91,7.49,1.91
42,leprosy,3,2.09,1.4,6.29,1.4
43,aggravation,5,2.1,1.06,6.1,1.06
44,trauma,2,2.1,1.49,6.33,1.49
45,kill,6,2.11,1.54,5.65,1.54
46,demon,1,2.11,1.56,6.76,1.56
47,amputate,4,2.12,1.4,5.5,1.4
48,shame,3,2.13,1.14,6.33,1.14
49,pain,5,2.13,1.81,6.5,1.81
50,thief,6,2.13,1.69,6.89,1.69
51,murder,1,2.15,1.9,5.75,1.9
52,castrate,3,2.16,1.99,5.75,1.99
53,troubled,2,2.17,1.21,5.94,1.21
54,victim,4,2.18,1.48,6.06,1.48
55,hostage,3,2.2,1.8,6.76,1.8
56,drown,6,2.2,1.68,6.84,1.68
57,crushed,1,2.21,1.74,5.52,1.74
58,debt,5,2.22,1.17,5.68,1.17
59,traitor,4,2.22,1.69,5.78,1.69
60,divorce,2,2.22,1.88,6.33,1.88
61,irritated,3,2.23,1.55,6.13,1.55
62,crucify,4,2.23,1.72,6.47,1.72
63,poisonous,2,2.25,1.55,5.62,1.55
64,dreadful,5,2.26,1.91,5.84,1.91
65,grieve,6,2.27,1.36,5.6,1.36
66,traffic,1,2.27,1.31,5.8,1.31
67,regretful,6,2.28,1.42,5.74,1.42
68,horrible,3,2.28,1.98,5.75,1.98
69,insult,4,2.29,1.33,6,1.33
70,whore,1,2.3,2.11,5.85,2.11
71,worry,5,2.31,1.51,6,1.51
72,crash,2,2.31,1.44,6.95,1.44
73,homicide,4,2.34,1.72,5.66,1.72
74,anger,1,2.34,1.32,7.63,1.32
75,roach,5,2.35,1.7,6.64,1.7
76,insecure,2,2.36,1.33,5.56,1.33
77,tumor,3,2.36,2.04,6.51,2.04
78,choke,6,2.38,1.43,6.34,1.43
79,starving,2,2.39,1.82,5.61,1.82
80,harassment,6,2.41,1.62,5.75,1.62
81,liar,4,2.41,1.64,6.38,1.64
82,rage,5,2.41,1.86,8.17,1.86
83,robbery,1,2.42,1.52,6.9,1.52
84,demonic,3,2.43,1.89,5.53,1.89
85,despairing,4,2.43,1.47,5.68,1.47
86,pollution,2,2.43,1.79,5.77,1.79
87,mad,3,2.44,1.72,6.76,1.72
88,disgusted,6,2.45,1.41,5.42,1.41
89,deserter,5,2.45,1.8,5.5,1.8
90,banish,1,2.46,1.4,5.68,1.4
