Mratio	 d1	 Arousal	 Valence	 LearningTime
11113	 2.28	 0.63	 High	 High	 30
11113	 1.74	 0.95	 High	 High	 60
11113	 1.11	 1.51	 High	 High	 90
11113	 1.09	 0.76	 High	 Low	 30
11113	 0.38	 1.68	 High	 Low	 60
11113	 1.15	 1.66	 High	 Low	 90
11113	 0.69	 0.49	 Low	 High	 30
11113	 1.54	 1.09	 Low	 High	 60
11113	 0.66	 1.43	 Low	 High	 90
11113	 0.95	 0.71	 Low	 Low	 30
11113	 0.49	 1.07	 Low	 Low	 60
11113	 0.44	 1.53	 Low	 Low	 90
11114	 0.64	 0.72	 High	 High	 30
11114	 0.98	 1.08	 High	 High	 60
11114	 0.83	 1.94	 High	 High	 90
11114	 0.42	 1.39	 High	 Low	 30
11114	 1.32	 1.35	 High	 Low	 60
11114	 1.30	 1.94	 High	 Low	 90
11114	 0.36	 1.23	 Low	 High	 30
11114	 0.10	 1.88	 Low	 High	 60
11114	 0.74	 2.61	 Low	 High	 90
11114	 1.66	 0.66	 Low	 Low	 30
11114	 0.93	 1.29	 Low	 Low	 60
11114	 1.25	 1.29	 Low	 Low	 90
11115	 5.52	 0.12	 High	 High	 30
11115	 0.78	 1.62	 High	 High	 60
11115	 1.13	 1.75	 High	 High	 90
11115	 1.04	 1.08	 High	 Low	 30
11115	 1.27	 0.82	 High	 Low	 60
11115	 1.00	 1.47	 High	 Low	 90
11115	 -0.14	 0.70	 Low	 High	 30
11115	 0.77	 0.87	 Low	 High	 60
11115	 0.71	 1.48	 Low	 High	 90
11115	 0.66	 0.65	 Low	 Low	 30
11115	 1.02	 0.90	 Low	 Low	 60
11115	 0.59	 1.67	 Low	 Low	 90
11116	 0.89	 0.94	 High	 High	 30
11116	 1.00	 1.98	 High	 High	 60
11116	 0.91	 1.92	 High	 High	 90
11116	 1.48	 0.92	 High	 Low	 30
11116	 1.87	 1.06	 High	 Low	 60
11116	 1.27	 2.25	 High	 Low	 90
11116	 1.05	 1.39	 Low	 High	 30
11116	 1.22	 0.89	 Low	 High	 60
11116	 0.88	 2.02	 Low	 High	 90
11116	 0.61	 1.65	 Low	 Low	 30
11116	 1.50	 0.61	 Low	 Low	 60
11116	 1.35	 1.55	 Low	 Low	 90
11117	 0.05	 0.43	 High	 High	 30
11117	 0.51	 1.23	 High	 High	 60
11117	 0.57	 1.58	 High	 High	 90
11117	 0.02	 1.18	 High	 Low	 30
11117	 0.64	 1.36	 High	 Low	 60
11117	 2.14	 0.82	 High	 Low	 90
11117	 1.33	 0.85	 Low	 High	 30
11117	 -0.10	 1.33	 Low	 High	 60
11117	 0.30	 1.55	 Low	 High	 90
11117	 0.18	 1.28	 Low	 Low	 30
11117	 0.65	 1.22	 Low	 Low	 60
11117	 0.84	 1.11	 Low	 Low	 90
11118	 1.12	 1.01	 High	 High	 30
11118	 1.51	 1.39	 High	 High	 60
11118	 0.87	 2.68	 High	 High	 90
11118	 2.47	 0.69	 High	 Low	 30
11118	 1.82	 1.35	 High	 Low	 60
11118	 1.56	 1.98	 High	 Low	 90
11118	 1.09	 1.15	 Low	 High	 30
11118	 1.23	 1.20	 Low	 High	 60
11118	 1.04	 1.47	 Low	 High	 90
11118	 1.28	 1.00	 Low	 Low	 30
11118	 0.48	 1.74	 Low	 Low	 60
11118	 0.90	 1.91	 Low	 Low	 90
11119	 2.05	 0.95	 High	 High	 30
11119	 1.63	 2.02	 High	 High	 60
11119	 1.76	 2.02	 High	 High	 90
11119	 0.81	 1.92	 High	 Low	 30
11119	 1.31	 2.13	 High	 Low	 60
11119	 1.13	 3.11	 High	 Low	 90
11119	 1.37	 1.23	 Low	 High	 30
11119	 1.42	 2.00	 Low	 High	 60
11119	 1.47	 1.72	 Low	 High	 90
11119	 1.86	 0.96	 Low	 Low	 30
11119	 1.17	 1.88	 Low	 Low	 60
11119	 0.98	 2.25	 Low	 Low	 90
11120	 1.15	 0.56	 High	 High	 30
11120	 0.33	 3.12	 High	 High	 60
11120	 1.11	 1.55	 High	 High	 90
11120	 0.55	 1.60	 High	 Low	 30
11120	 1.23	 1.84	 High	 Low	 60
11120	 0.96	 2.36	 High	 Low	 90
11120	 0.64	 0.90	 Low	 High	 30
11120	 2.91	 0.59	 Low	 High	 60
11120	 0.50	 2.65	 Low	 High	 90
11120	 1.49	 0.66	 Low	 Low	 30
11120	 1.72	 0.99	 Low	 Low	 60
11120	 0.49	 2.13	 Low	 Low	 90
11121	 2.44	 0.60	 High	 High	 30
11121	 0.74	 1.50	 High	 High	 60
11121	 0.80	 2.11	 High	 High	 90
11121	 0.17	 2.25	 High	 Low	 30
11121	 0.75	 2.21	 High	 Low	 60
11121	 1.16	 1.48	 High	 Low	 90
11121	 1.52	 0.82	 Low	 High	 30
11121	 1.02	 1.12	 Low	 High	 60
11121	 1.11	 1.91	 Low	 High	 90
11121	 0.61	 1.50	 Low	 Low	 30
11121	 1.33	 1.63	 Low	 Low	 60
11121	 1.34	 1.75	 Low	 Low	 90
11122	 0.44	 1.84	 High	 High	 30
11122	 1.01	 1.29	 High	 High	 60
11122	 1.54	 1.44	 High	 High	 90
11122	 0.84	 1.53	 High	 Low	 30
11122	 1.74	 1.01	 High	 Low	 60
11122	 1.19	 1.78	 High	 Low	 90
11122	 0.86	 1.50	 Low	 High	 30
11122	 1.12	 1.50	 Low	 High	 60
11122	 2.21	 1.12	 Low	 High	 90
