Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD	Length
abandon	2500	2.09	(1.33)	4.83	(2.69)	3.47	(2.37)	7
abduction	621	2.33	(2.13)	6.09	(2.72)	2.76	(2.49)	9
able	1401	6.88	(1.54)	4.13	(2)	6.69	(2.3)	4
abortion	622	3.15	(2.39)	5.85	(3.09)	4.00	(2.55)	8
abrupt	2501	3.98	(1.49)	5.17	(2.26)	4.75	(1.95)	6
absent	1402	3.27	(1.62)	4.09	(2.07)	3.91	(1.22)	6
absurd	623	4.70	(1.3)	4.65	(1.93)	4.70	(1.42)	6
abundance	624	6.55	(1.9)	5.10	(2.53)	5.55	(2.11)	9
abundant	2502	6.53	(1.87)	5.04	(2.35)	5.71	(1.65)	8
abuse	1	1.46	(1.03)	6.88	(2.83)	3.81	(3.12)	5
abusive	2503	1.56	(1.09)	5.92	(2.92)	3.00	(2.83)	7
accept	1403	7.33	(1.35)	4.87	(1.68)	6.00	(1.77)	6
acceptance	625	8.18	(1.56)	4.86	(3)	6.55	(1.99)	10
access	1404	6.07	(1.03)	5.27	(1.49)	6.27	(1.16)	6
accident	2	2.08	(1.29)	6.48	(2.62)	3.92	(2.29)	8
accomplish	2504	8.04	(1.36)	6.21	(2.40)	7.06	(2.08)	10
accord	1405	5.47	(0.83)	4.40	(1.68)	5.57	(1.16)	6
accost	1406	3.67	(1.72)	5.93	(1.83)	4.00	(1.81)	6
accuse	1407	1.54	(0.88)	6.85	(1.72)	4.08	(3.04)	6
ace	626	6.14	(2.1)	4.95	(2.33)	6.33	(2.08)	3
ache	627	2.00	(1.11)	4.77	(2.62)	3.23	(1.63)	4
achieve	2505	7.88	(1.68)	7.03	(2.21)	7.13	(2.23)	7
achievement	3	8.00	(1.24)	5.97	(2.8)	6.52	(2.47)	11
acknowledge	2506	6.47	(1.72)	4.58	(2.14)	5.91	(1.82)	11
acre	1408	5.73	(1.1)	4.20	(1.61)	5.73	(1.49)	4
action	1409	6.27	(1.58)	6.47	(1.81)	4.87	(2.17)	6
activate	4	5.31	(0.97)	5.00	(2.55)	5.38	(1.75)	8
actor	1410	7.06	(1.29)	6.31	(1.7)	4.94	(1.77)	5
ad	1411	4.85	(1.14)	4.17	(1.53)	4.92	(1.62)	2
adapt	1412	5.36	(0.5)	4.64	(1.69)	4.91	(1.14)	5
addict	581	2.12	(1.48)	5.68	(1.95)	3.68	(2.54)	6
addicted	628	2.29	(1.49)	5.09	(2.67)	3.29	(2.43)	8
adhere	1413	5.40	(1.3)	4.13	(2.23)	4.87	(1.19)	6
adjust	1414	5.36	(1.74)	5.86	(1.88)	4.43	(1.55)	6
admirable	2507	7.43	(1.51)	5.31	(2.49)	6.05	(2.10)	9
admire	1415	8.07	(1.1)	6.80	(1.86)	6.93	(1.58)	6
admired	5	7.81	(2.01)	5.97	(2.53)	7.44	(2.21)	7
admit	1416	4.64	(1.28)	4.64	(2.21)	4.07	(1.73)	5
adopt	1417	6.45	(1.13)	4.82	(1.94)	5.45	(1.21)	5
adorable	6	8.12	(1.07)	4.96	(2.92)	6.00	(2.61)	8
adore	1418	7.36	(1.96)	6.36	(2.06)	5.09	(2.26)	5
adorn	1419	6.42	(1.38)	5.00	(1.65)	5.00	(1.28)	5
adult	546	6.50	(1.5)	4.81	(1.65)	5.58	(2.53)	5
adultery	2508	2.18	(1.49)	5.22	(2.82)	5.18	(2.60)	8
advantage	629	6.72	(2.11)	4.48	(2.1)	6.35	(2.17)	9
adventure	630	8.00	(1.17)	7.05	(1.85)	6.55	(1.61)	9
adversity	2509	4.87	(2.13)	4.55	(2.23)	5.18	(1.92)	9
advice	1420	6.20	(1.66)	4.73	(1.94)	4.87	(1.96)	6
affair	1421	2.36	(1.5)	6.64	(2.38)	4.09	(2.07)	6
affection	7	8.57	(0.74)	6.25	(2.86)	6.39	(2.13)	9
affectionate	1422	8.07	(1.16)	5.67	(3.27)	6.20	(2.11)	12
affirm	1423	6.14	(1.56)	4.86	(1.61)	5.79	(0.89)	6
afford	1424	6.86	(1.96)	6.15	(2.12)	6.31	(2.63)	6
afraid	8	1.83	(1.14)	6.68	(2.65)	3.43	(2.25)	6
afternoon	2510	6.23	(1.46)	4.42	(2.12)	5.32	(1.54)	9
aggravated	1425	2.00	(1.24)	5.57	(2.41)	3.43	(1.16)	10
aggravation	1426	1.88	(0.89)	6.94	(1.65)	3.63	(1.86)	11
aggression	2511	3.19	(1.89)	5.64	(2.33)	4.85	(2.29)	10
aggressive	9	4.89	(1.79)	5.68	(2.29)	5.21	(2.57)	10
agility	22	6.24	(1.55)	5.07	(1.77)	5.79	(1.26)	7
agony	10	2.41	(2.15)	6.34	(2.62)	3.75	(2.62)	5
agree	1427	7.19	(0.83)	4.63	(1.75)	6.38	(1.15)	5
agreement	631	7.38	(1.63)	5.14	(2.51)	6.00	(1.75)	9
aid	1428	7.31	(0.75)	5.92	(1.61)	6.00	(2.31)	3
ail	1429	3.53	(1.88)	4.21	(2.69)	4.21	(2.58)	3
air	632	6.23	(1.54)	3.64	(2.19)	5.00	(1.2)	3
airplane	1430	6.40	(2.38)	7.33	(1.59)	3.93	(2.49)	8
airport	1431	5.94	(2.14)	6.25	(1.91)	4.53	(1.81)	7
alarm	1432	2.62	(1.71)	7.54	(2.57)	3.92	(2.4)	5
album	1433	6.31	(1.97)	5.69	(1.84)	4.69	(1.44)	5
alcohol	1434	6.38	(1.89)	6.07	(1.22)	5.44	(1.79)	7
alcoholic	582	2.00	(1.36)	6.00	(2.12)	4.08	(2.56)	9
alcoholism	2512	2.55	(1.74)	4.48	(2.49)	4.06	(2.64)	10
alcove	1435	5.31	(1.11)	4.33	(1.37)	4.92	(0.29)	6
alert	11	6.69	(1.72)	7.00	(2.51)	5.50	(2.55)	5
alien	633	4.75	(1.65)	5.10	(2.38)	5.00	(2.03)	5
alienation	2513	2.63	(1.84)	4.46	(2.62)	2.87	(2.16)	10
alimony	634	4.62	(2.16)	5.14	(2.1)	5.18	(2.44)	7
