Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD	Length
abandon	2500	2.75	(1.99)	4.41	(2.49)	3.43	(2.56)	7
abduction	621	3.19	(1.94)	4.95	(1.99)	4.25	(2.05)	9
able	1401	6.60	(2.44)	4.50	(2.41)	7.00	(1.75)	4
abortion	622	4.00	(2.11)	4.72	(2.22)	5.44	(2.33)	8
abrupt	2501	4.57	(1.47)	4.64	(1.98)	4.82	(1.78)	6
absent	1402	4.00	(1.77)	5.20	(1.37)	4.67	(2.23)	6
absurd	623	3.86	(2.14)	4.09	(2.43)	4.76	(2)	6
abundance	624	6.62	(2.16)	5.90	(2.72)	6.05	(2.24)	9
abundant	2502	7.16	(1.46)	5.50	(2.38)	5.69	(1.96)	8
abuse	1	2.78	(1.3)	6.67	(2.4)	3.33	(2.45)	5
abusive	2503	2.06	(1.56)	5.57	(2.62)	4.13	(2.81)	7
accept	1403	6.27	(2.6)	6.20	(2.04)	4.79	(1.93)	6
acceptance	625	7.75	(1.25)	6.00	(2.25)	6.75	(1.86)	10
access	1404	6.21	(2.12)	4.85	(1.91)	6.23	(1.92)	6
accident	2	2.00	(1.06)	5.94	(3.27)	3.53	(2.15)	8
accomplish	2504	7.61	(1.65)	6.66	(2.02)	6.86	(2.04)	10
accord	1405	5.60	(1.5)	4.07	(1.82)	5.07	(1.22)	6
accost	1406	4.93	(0.47)	4.50	(1.79)	4.79	(1.31)	6
accuse	1407	3.40	(1.12)	6.33	(2.13)	4.07	(1.44)	6
ace	626	7.70	(1.34)	6.35	(2.62)	6.45	(2.58)	3
ache	627	3.00	(1.76)	5.26	(2.28)	3.89	(1.82)	4
achieve	2505	7.91	(1.52)	6.64	(2.20)	6.77	(2.29)	7
achievement	3	7.58	(1.73)	4.42	(2.61)	6.67	(2.1)	11
acknowledge	2506	6.50	(1.65)	4.91	(2.27)	5.77	(1.84)	11
acre	1408	5.57	(1.45)	5.64	(1.91)	6.38	(1.85)	4
action	1409	7.00	(1.25)	6.60	(1.99)	6.40	(1.68)	6
activate	4	5.89	(0.93)	4.44	(2.7)	5.56	(2.19)	8
actor	1410	7.20	(1.37)	5.79	(2.12)	5.00	(1.75)	5
ad	1411	5.13	(1.31)	4.38	(1.86)	5.06	(0.57)	2
adapt	1412	6.00	(1.41)	4.42	(2.07)	5.92	(1.51)	5
addict	581	2.84	(2.53)	5.64	(2.56)	3.76	(2.59)	6
addicted	628	2.75	(1.33)	4.50	(2.24)	3.65	(2.03)	8
adhere	1413	4.67	(0.9)	4.00	(1.13)	3.80	(2.11)	6
adjust	1414	5.14	(1.41)	4.93	(1.38)	5.29	(1.27)	6
admirable	2507	7.03	(1.29)	5.86	(1.84)	6.07	(1.83)	9
admire	1415	7.20	(0.41)	5.60	(1.55)	5.60	(1.35)	6
admired	5	7.60	(1.45)	6.40	(1.99)	7.73	(1.22)	7
admit	1416	5.20	(1.74)	5.27	(1.49)	4.80	(2.14)	5
adopt	1417	6.57	(1.45)	4.62	(2.1)	6.23	(1.48)	5
adorable	6	7.35	(1.37)	5.38	(2.39)	5.31	(2.27)	8
adore	1418	7.13	(2.09)	5.31	(2.8)	5.25	(1.44)	5
