"","Word","List","ValMn","ValSD","AroMn","AroSD"
"1","unhappy",6,1.57,"0.96",4.18,"0.96"
"2","sad",1,1.61,"0.95",4.13,"0.95"
"3","loneliness",2,1.61,"1.02",4.56,"1.02"
"4","death",4,1.61,"1.40",4.59,"1.40"
"5","depression",3,1.85,"1.67",4.54,"1.67"
"6","frown",5,1.87,"1.31",4.27,"1.31"
"7","gloom",5,1.88,"1.23",3.83,"1.23"
"8","sick",3,1.9,"1.14",4.29,"1.14"
"9","worthless",2,1.94,"1.37",4.21,"1.37"
"10","homeless",6,2.06,"1.13",4.59,"1.13"
"11","lonely",1,2.17,"1.76",4.51,"1.76"
"12","discomfort",4,2.19,"1.23",4.17,"1.23"
"13","stench",6,2.19,"1.37",4.36,"1.37"
"14","rotten",1,2.26,"1.37",4.53,"1.37"
"15","hopeless",4,2.27,"1.78",4.28,"1.78"
"16","zit",5,2.3,"1.53",4.56,"1.53"
"17","sorrow",2,2.32,"1.68",4.48,"1.68"
"18","cry",3,2.35,"1.57",4.6,"1.57"
"19","disappointment",1,2.37,"1.27",4.6,"1.27"
"20","malaria",4,2.4,"1.38",4.4,"1.38"
"21","deformed",2,2.41,"1.66",4.07,"1.66"
"22","wart",5,2.41,"1.36",4.34,"1.36"
"23","widow",3,2.42,"1.65",3.64,"1.65"
"24","ungrateful",6,2.42,"1.34",4.13,"1.34"
"25","inferiority",5,2.47,"1.64",4.4,"1.64"
"26","disability",1,2.52,"1.27",4.46,"1.27"
"27","scam",6,2.52,"1.78",4.54,"1.78"
"28","misfortune",4,2.53,"1.42",4.31,"1.42"
"29","disgrace",3,2.54,"1.55",4.44,"1.55"
"30","worse",2,2.59,"1.45",4.56,"1.45"
"31","sunburn",1,2.59,"1.50",4.57,"1.50"
"32","casket",3,2.6,"1.87",4.12,"1.87"
"33","sewage",2,2.61,"2.16",4.57,"2.16"
"34","weak",4,2.64,"1.36",3.78,"1.36"
"35","trash",5,2.67,"1.45",4.16,"1.45"
"36","decay",6,2.68,"1.66",4.44,"1.66"
"37","wasteful",4,2.69,"1.46",4.23,"1.46"
"38","stinks",3,2.72,"1.55",4.32,"1.55"
"39","obesity",5,2.73,"1.85",3.87,"1.85"
"40","chore",6,2.74,"1.38",3.52,"1.38"
"41","coward",1,2.74,"1.64",4.07,"1.64"
"42","stinky",2,2.74,"1.69",4.55,"1.69"
"43","alienation",2,2.75,"1.74",4.45,"1.74"
"44","fever",1,2.76,"1.64",4.29,"1.64"
"45","pessimistic",3,2.77,"1.75",4.03,"1.75"
"46","unfortunate",6,2.78,"1.68",4.3,"1.68"
"47","alcoholism",5,2.78,"1.98",4.55,"1.98"
"48","unpleasant",4,2.8,"1.55",4.2,"1.55"
"49","impotent",4,2.81,"1.92",4.57,"1.92"
"50","mope",2,2.85,"1.60",3.25,"1.60"
"51","inadequate",6,2.85,"1.75",4.58,"1.75"
"52","germs",5,2.86,"1.39",4.49,"1.39"
"53","negligent",1,2.87,"1.50",4.13,"1.50"
"54","blister",3,2.88,"1.75",4.1,"1.75"
"55","cowardice",3,2.9,"1.50",4.27,"1.50"
"56","graveyard",6,2.91,"1.73",4.51,"1.73"
"57","mucous",2,2.92,"1.54",4.09,"1.54"
"58","whine",4,2.92,"1.63",4.56,"1.63"
"59","waste",5,2.93,"1.76",4.14,"1.76"
"60","bored",1,2.95,"1.35",2.83,"1.35"
"61","dandruff",4,2.95,"1.80",3.33,"1.80"
"62","glum",5,2.97,"1.50",3.19,"1.50"
"63","despair",2,2.99,"1.86",4.49,"1.86"
"64","dumb",3,3,"2.15",4.24,"2.15"
"65","stink",1,3,"1.79",4.26,"1.79"
"66","discouraged",6,3,"2.16",4.53,"2.16"
"67","fatigue",3,3.04,"1.53",3.46,"1.53"
"68","pathetic",2,3.04,"1.67",4.24,"1.67"
"69","dreary",4,3.05,"1.58",2.98,"1.58"
"70","blind",5,3.05,"1.99",4.39,"1.99"
"71","rodent",6,3.06,"1.76",4.14,"1.76"
"72","weakness",1,3.06,"1.58",4.38,"1.58"
"73","inferior",5,3.07,"1.57",3.83,"1.57"
"74","ignorance",4,3.07,"2.25",4.39,"2.25"
"75","sluggish",6,3.09,"1.47",3.12,"1.47"
"76","manure",1,3.1,"1.74",4.17,"1.74"
"77","incompetent",3,3.1,"1.78",4.59,"1.78"
"78","complain",2,3.11,"1.59",4.47,"1.59"
"79","dislike",5,3.12,"1.55",4.06,"1.55"
"80","slob",4,3.12,"1.77",4.23,"1.77"
"81","expire",2,3.13,"1.41",4.6,"1.41"
"82","sloppy",6,3.14,"1.49",4.45,"1.49"
"83","vulnerable",3,3.14,"1.71",4.53,"1.71"
"84","messy",1,3.15,"1.73",3.34,"1.73"
"85","idiot",6,3.16,"1.91",4.21,"1.91"
"86","tiresome",5,3.17,"1.60",3.12,"1.60"
"87","pale",4,3.17,"1.47",3.5,"1.47"
"88","tax",1,3.17,"1.53",3.81,"1.53"
"89","mildew",2,3.17,"1.36",4.08,"1.36"
"90","gloomy",3,3.18,"1.50",3.35,"1.50"
"91","impair",4,3.18,"1.86",4.04,"1.86"
"92","detach",2,3.19,"1.57",4.19,"1.57"
"93","moody",1,3.2,"1.58",4.18,"1.58"
"94","droop",6,3.21,"1.74",3.39,"1.74"
"95","dump",5,3.21,"1.87",4.12,"1.87"
"96","lack",3,3.21,"1.37",4.21,"1.37"
"97","unpopular",3,3.22,"1.74",4.52,"1.74"
"98","complaint",6,3.23,"1.55",4.38,"1.55"
"99","handicapped",1,3.23,"1.56",4.55,"1.56"
"100","withdrawn",5,3.24,"1.59",3.91,"1.59"
"101","urine",2,3.25,"1.71",4.2,"1.71"
"102","feeble",4,3.26,"1.47",4.1,"1.47"
"103","dismissive",1,3.27,"1.50",4.04,"1.50"
"104","wither",4,3.27,"1.60",4.04,"1.60"
"105","nuisance",3,3.27,"1.86",4.49,"1.86"
"106","fatigued",5,3.28,"1.43",2.64,"1.43"
"107","tired",6,3.28,"1.69",2.64,"1.69"
"108","handicap",2,3.29,"1.69",3.81,"1.69"
"109","bore",5,3.31,"1.72",2.94,"1.72"
"110","old",6,3.31,"1.89",3.5,"1.89"
"111","tarnish",2,3.31,"1.40",3.77,"1.40"
"112","bitter",1,3.31,"1.52",4.4,"1.52"
"113","mucus",3,3.34,"2.29",3.41,"2.29"
"114","deficient",4,3.36,"1.65",4.26,"1.65"
"115","pity",1,3.37,"1.57",3.72,"1.57"
"116","grime",3,3.37,"1.34",3.98,"1.34"
"117","boring",5,3.38,"2.54",2.29,"2.54"
"118","dummy",2,3.38,"1.70",4.35,"1.70"
"119","cheapskate",6,3.39,"1.82",4.01,"1.82"
"120","immature",4,3.39,"1.70",4.15,"1.70"
"121","smoke",6,3.39,"3.02",4.48,"3.02"
